areacode,owned_outright,owned_mortgage,private_rented,social_rented
S00135549,11,12,3,13
S00135550,24,11,3,32
S00135551,19,25,5,7
S00135552,5,38,8,22
S00135553,49,30,1,3
S00135554,19,10,1,11
S00135555,42,26,2,2
S00135556,21,28,18,2
S00135557,18,11,3,11
S00135558,24,20,2,16
S00135559,18,28,13,4
S00135560,35,20,7,1
S00135561,13,5,2,28
S00135562,11,17,5,12
S00135563,2,0,2,32
S00135564,39,14,1,1
S00135565,18,14,0,1
S00135566,28,12,7,3
S00135567,22,17,2,16
S00135568,31,27,4,18
S00135569,15,9,5,28
S00135570,45,6,3,1
S00135571,15,16,8,19
S00135572,27,18,0,4
S00135573,17,16,0,12
S00135574,17,12,1,11
S00135575,28,19,4,26
S00135576,19,21,1,31
S00135577,6,32,12,16
S00135578,35,23,2,1
S00135579,16,17,6,9
S00135580,23,23,5,28
S00135581,27,22,5,2
S00135582,18,22,13,0
S00135583,3,31,5,42
S00135584,10,23,9,25
S00135585,7,31,7,1
S00135586,32,20,2,1
S00135587,13,22,15,7
S00135588,24,7,15,4
S00135589,14,17,4,5
S00135590,4,25,3,2
S00135591,7,5,3,15
S00135592,6,34,2,1
S00135593,25,9,0,2
S00135594,20,20,1,3
S00135595,19,7,4,45
S00135596,10,61,8,1
S00135597,13,19,11,30
S00135598,27,10,2,2
S00135599,3,20,31,13
S00135600,1,6,3,37
S00135601,4,39,6,1
S00135602,8,19,20,20
S00135603,23,9,0,0
S00135604,3,27,32,1
S00135605,15,15,10,0
S00135606,20,37,5,0
S00135607,18,13,33,5
S00135608,11,19,1,8
S00135609,30,16,7,0
S00135610,6,23,8,48
S00135611,7,16,5,23
S00135612,4,40,27,5
S00135613,2,35,4,2
S00135614,19,11,2,13
S00135615,13,43,20,2
S00135616,5,22,16,3
S00135617,22,19,3,1
S00135618,21,11,2,0
S00135619,6,11,22,6
S00135620,1,10,6,37
S00135621,18,12,8,37
S00135622,11,26,22,0
S00135623,25,29,14,3
S00135624,14,16,3,9
S00135625,12,17,4,2
S00135626,7,14,13,2
S00135627,18,22,2,8
S00135628,29,22,6,25
S00135629,12,43,27,4
S00135630,19,20,1,8
S00135631,7,7,16,44
S00135632,11,7,6,54
S00135633,16,12,7,1
S00135634,8,25,23,1
S00135635,1,1,36,33
S00135636,19,19,2,9
S00135637,15,20,4,18
S00135638,11,19,15,0
S00135639,0,32,1,4
S00135640,23,21,4,24
S00135641,14,11,4,15
S00135642,2,38,9,30
S00135643,17,3,4,20
S00135644,21,14,5,1
S00135645,16,10,5,18
S00135646,18,8,2,19
S00135647,30,16,3,22
S00135648,5,2,1,50
S00135649,1,5,3,41
S00135650,13,9,2,28
S00135651,26,24,6,11
S00135652,21,20,5,5
S00135653,2,11,9,10
S00135654,3,2,0,38
S00135655,15,22,7,8
S00135656,1,2,1,57
S00135657,6,6,1,54
S00135658,4,5,3,28
S00135659,1,1,2,66
S00135660,3,2,1,57
S00135661,10,17,0,11
S00135662,17,32,3,3
S00135663,25,13,1,13
S00135664,5,11,7,52
S00135665,5,4,3,71
S00135666,17,9,2,22
S00135667,10,9,4,50
S00135668,6,4,14,38
S00135669,10,17,8,31
S00135670,0,28,12,42
S00135671,25,13,3,3
S00135672,8,11,9,32
S00135673,14,10,0,23
S00135674,22,16,7,3
S00135675,10,12,5,22
S00135676,11,8,6,33
S00135677,3,4,2,33
S00135678,17,17,3,19
S00135679,15,6,10,7
S00135680,16,17,2,17
S00135681,11,1,10,39
S00135682,11,15,4,11
S00135683,7,7,1,30
S00135684,5,4,7,38
S00135685,15,32,1,19
S00135686,2,0,2,86
S00135687,2,15,16,41
S00135688,17,16,1,23
S00135689,2,1,2,42
S00135690,15,13,11,29
S00135691,10,1,4,50
S00135692,1,11,2,25
S00135693,3,14,2,31
S00135694,19,14,0,11
S00135695,12,19,10,4
S00135696,4,10,20,2
S00135697,10,16,26,17
S00135698,6,7,3,62
S00135699,23,27,2,12
S00135700,1,0,2,29
S00135701,10,14,7,15
S00135702,14,6,4,53
S00135703,0,6,9,25
S00135704,3,0,6,43
S00135705,5,4,8,31
S00135706,2,0,1,56
S00135707,6,10,2,28
S00135708,9,1,10,44
S00135709,9,5,4,30
S00135710,2,3,3,28
S00135711,6,6,21,20
S00135712,2,4,5,43
S00135713,8,5,9,17
S00135714,18,15,10,31
S00135715,23,15,7,1
S00135716,10,12,10,39
S00135717,10,13,28,17
S00135718,7,11,9,6
S00135719,4,4,0,59
S00135720,31,30,2,16
S00135721,16,21,6,30
S00135722,1,1,4,31
S00135723,6,2,1,35
S00135724,10,8,3,17
S00135725,2,1,2,48
S00135726,7,8,0,51
S00135727,4,4,19,24
S00135728,11,7,2,45
S00135729,37,1,4,40
S00135730,13,19,3,8
S00135731,9,12,8,16
S00135732,16,14,6,25
S00135733,0,2,6,40
S00135734,14,13,21,17
S00135735,15,14,6,15
S00135736,13,0,15,29
S00135737,1,4,3,38
S00135738,14,24,1,34
S00135739,0,1,3,40
S00135740,12,7,3,19
S00135741,12,5,6,13
S00135742,10,16,9,16
S00135743,5,4,1,28
S00135744,2,7,1,28
S00135745,11,21,11,23
S00135746,5,13,2,18
S00135747,20,10,0,11
S00135748,20,13,16,16
S00135749,0,0,0,52
S00135750,18,16,14,11
S00135751,2,0,6,70
S00135752,1,6,0,28
S00135753,12,6,14,31
S00135754,7,5,1,33
S00135755,2,10,0,50
S00135756,14,11,15,15
S00135757,7,10,5,41
S00135758,1,0,1,76
S00135759,3,0,1,23
S00135760,3,1,0,23
S00135761,5,9,2,29
S00135762,5,11,6,46
S00135763,15,10,13,8
S00135764,3,10,0,29
S00135765,5,7,14,43
S00135766,20,11,10,4
S00135767,7,5,6,38
S00135768,4,3,5,55
S00135769,7,10,1,27
S00135770,3,5,14,51
S00135771,8,5,12,38
S00135772,22,31,0,23
S00135773,0,3,15,61
S00135774,4,4,3,21
S00135775,1,1,6,73
S00135776,15,12,10,11
S00135777,12,2,2,25
S00135778,4,2,7,23
S00135779,25,11,10,17
S00135780,0,5,0,34
S00135781,17,17,1,13
S00135782,19,12,10,17
S00135783,7,3,4,82
S00135784,3,4,0,29
S00135785,2,1,2,22
S00135786,6,4,0,44
S00135787,6,4,7,18
S00135788,14,15,5,13
S00135789,12,14,1,20
S00135790,3,4,6,40
S00135791,3,4,9,91
S00135792,2,2,1,32
S00135793,3,5,2,36
S00135794,33,23,2,0
S00135795,9,7,5,26
S00135796,25,10,8,13
S00135797,13,15,37,6
S00135798,8,6,4,32
S00135799,7,3,1,59
S00135800,19,19,8,11
S00135801,5,6,0,32
S00135802,4,2,14,22
S00135803,5,5,6,29
S00135804,17,9,2,23
S00135805,2,0,20,32
S00135806,7,11,1,30
S00135807,2,3,8,42
S00135808,7,7,5,48
S00135809,6,8,9,22
S00135810,16,20,2,3
S00135811,5,9,6,44
S00135812,5,6,8,42
S00135813,6,6,14,31
S00135814,1,0,9,28
S00135815,1,1,1,53
S00135816,17,16,9,18
S00135817,16,17,1,12
S00135818,10,10,5,33
S00135819,12,8,5,21
S00135820,2,3,1,65
S00135821,11,11,8,13
S00135822,3,5,5,40
S00135823,3,5,2,57
S00135824,17,25,1,28
S00135825,4,14,1,20
S00135826,4,6,2,24
S00135827,12,7,0,11
S00135828,15,21,15,18
S00135829,8,0,1,56
S00135830,6,11,11,13
S00135831,11,19,2,15
S00135832,1,0,0,97
S00135833,12,7,2,29
S00135834,15,20,13,3
S00135835,5,3,3,91
S00135836,9,12,4,18
S00135837,15,16,5,27
S00135838,20,0,32,9
S00135839,8,8,16,39
S00135840,14,26,16,14
S00135841,19,10,8,1
S00135842,25,8,15,2
S00135843,1,0,7,54
S00135844,5,6,1,30
S00135845,12,12,0,11
S00135846,29,14,24,2
S00135847,3,4,9,21
S00135848,7,6,1,44
S00135849,8,5,8,36
S00135850,14,18,0,1
S00135851,6,9,1,28
S00135852,7,5,17,9
S00135853,3,0,3,59
S00135854,19,14,1,2
S00135855,8,4,19,43
S00135856,2,6,11,23
S00135857,6,8,6,7
S00135858,11,5,2,8
S00135859,7,7,13,24
S00135860,6,4,3,32
S00135861,42,13,5,1
S00135862,15,10,0,14
S00135863,7,16,2,13
S00135864,21,10,10,1
S00135865,24,14,7,2
S00135866,4,3,5,18
S00135867,17,17,14,2
S00135868,25,23,17,2
S00135869,13,8,4,3
S00135870,13,10,28,5
S00135871,9,10,25,31
S00135872,8,2,2,58
S00135873,19,24,6,6
S00135874,22,20,20,1
S00135875,10,28,1,15
S00135876,8,9,2,24
S00135877,19,10,3,31
S00135878,10,36,25,0
S00135879,12,12,0,13
S00135880,3,2,35,26
S00135881,19,18,1,13
S00135882,8,16,1,17
S00135883,22,9,0,6
S00135884,15,9,1,10
S00135885,5,0,15,44
S00135886,21,14,8,9
S00135887,9,5,12,19
S00135888,2,2,11,27
S00135889,8,14,3,2
S00135890,16,16,1,9
S00135891,9,12,1,15
S00135892,31,11,6,3
S00135893,16,21,12,2
S00135894,26,19,1,10
S00135895,7,1,3,83
S00135896,8,2,10,86
S00135897,4,1,15,79
S00135898,12,12,1,22
S00135899,5,2,6,22
S00135900,9,13,28,21
S00135901,13,13,3,27
S00135902,4,12,0,26
S00135903,4,2,6,33
S00135904,12,10,5,10
S00135905,9,4,2,33
S00135906,13,10,4,6
S00135907,8,10,24,3
S00135908,16,16,0,15
S00135909,5,14,5,9
S00135910,13,13,0,23
S00135911,9,25,2,9
S00135912,11,23,30,0
S00135913,12,21,31,1
S00135914,19,16,13,4
S00135915,36,17,12,0
S00135916,11,14,27,2
S00135917,18,22,2,18
S00135918,11,15,1,20
S00135919,13,9,6,13
S00135920,24,24,0,12
S00135921,14,13,2,21
S00135922,23,16,6,1
S00135923,8,9,33,26
S00135924,19,8,6,14
S00135925,10,11,4,8
S00135926,13,7,10,31
S00135927,31,19,2,16
S00135928,5,5,26,2
S00135929,12,9,10,15
S00135930,23,25,2,1
S00135931,16,28,2,4
S00135932,4,1,2,21
S00135933,24,22,9,19
S00135934,19,7,41,11
S00135935,29,19,4,1
S00135936,2,4,31,23
S00135937,23,13,13,3
S00135938,18,14,2,15
S00135939,13,12,20,0
S00135940,12,7,1,25
S00135941,11,13,44,6
S00135942,42,21,2,3
S00135943,17,23,6,1
S00135944,20,23,1,26
S00135945,23,9,7,2
S00135946,14,33,9,10
S00135947,18,15,14,16
S00135948,5,11,26,26
S00135949,20,43,2,0
S00135950,12,7,3,11
S00135951,6,15,48,0
S00135952,10,7,13,4
S00135953,18,8,18,6
S00135954,19,26,5,1
S00135955,27,18,2,20
S00135956,22,12,8,13
S00135957,17,7,42,2
S00135958,14,7,2,16
S00135959,34,17,10,12
S00135960,19,25,4,18
S00135961,17,24,9,22
S00135962,10,6,11,26
S00135963,31,32,4,0
S00135964,13,10,21,10
S00135965,10,8,31,5
S00135966,18,12,2,7
S00135967,15,19,2,6
S00135968,19,21,1,32
S00135969,16,1,33,2
S00135970,12,13,1,23
S00135971,6,8,31,29
S00135972,18,5,17,29
S00135973,20,11,4,20
S00135974,20,14,11,6
S00135975,0,2,5,48
S00135976,12,7,27,30
S00135977,5,9,0,21
S00135978,10,8,22,3
S00135979,0,13,3,30
S00135980,14,22,4,0
S00135981,33,18,4,0
S00135982,4,13,20,17
S00135983,22,11,20,1
S00135984,25,20,2,18
S00135985,11,14,13,30
S00135986,12,11,4,39
S00135987,14,6,24,0
S00135988,11,11,7,1
S00135989,8,3,13,39
S00135990,14,4,5,5
S00135991,8,3,29,3
S00135992,17,18,0,14
S00135993,17,29,5,0
S00135994,18,39,8,1
S00135995,5,5,16,1
S00135996,18,40,3,1
S00135997,18,9,1,49
S00135998,16,12,16,4
S00135999,9,13,45,2
S00136000,16,6,4,53
S00136001,14,6,19,20
S00136002,8,13,15,23
S00136003,0,7,39,7
S00136004,7,7,5,16
S00136005,14,3,5,39
S00136006,7,8,23,5
S00136007,26,29,4,6
S00136008,6,14,16,2
S00136009,11,3,4,57
S00136010,30,25,4,1
S00136011,8,2,3,66
S00136012,11,3,3,55
S00136013,9,12,32,4
S00136014,6,21,11,18
S00136015,9,5,30,34
S00136016,4,7,45,5
S00136017,25,22,28,4
S00136018,10,12,54,5
S00136019,13,9,34,6
S00136020,20,17,2,26
S00136021,3,12,17,3
S00136022,11,6,8,31
S00136023,4,0,1,36
S00136024,12,15,0,13
S00136025,13,12,0,24
S00136026,11,13,33,5
S00136027,10,7,16,2
S00136028,5,6,10,29
S00136029,16,17,1,1
S00136030,9,26,6,2
S00136031,11,11,14,27
S00136032,15,18,32,2
S00136033,24,16,19,11
S00136034,10,12,31,12
S00136035,9,22,56,1
S00136036,7,14,22,18
S00136037,5,9,12,18
S00136038,5,9,0,27
S00136039,14,7,16,13
S00136040,12,18,0,9
S00136041,23,20,1,19
S00136042,14,16,2,14
S00136043,10,15,4,9
S00136044,12,5,5,19
S00136045,18,28,1,15
S00136046,15,15,2,8
S00136047,16,15,13,18
S00136048,20,19,2,11
S00136049,28,10,24,5
S00136050,35,21,1,0
S00136051,18,18,0,11
S00136052,7,8,17,2
S00136053,9,16,3,10
S00136054,0,39,19,23
S00136055,13,3,8,57
S00136056,6,11,19,27
S00136057,26,12,7,12
S00136058,5,0,2,69
S00136059,12,17,4,13
S00136060,8,2,8,30
S00136061,9,4,60,6
S00136062,12,13,3,7
S00136063,2,8,13,40
S00136064,24,16,9,19
S00136065,10,15,17,24
S00136066,6,10,2,24
S00136067,9,16,3,3
S00136068,8,9,34,21
S00136069,8,13,9,41
S00136070,11,18,12,1
S00136071,4,10,26,36
S00136072,1,13,27,11
S00136073,19,6,20,2
S00136074,1,13,12,24
S00136075,5,13,28,15
S00136076,5,12,40,23
S00136077,16,12,14,1
S00136078,32,31,7,0
S00136079,4,4,30,3
S00136080,28,24,9,12
S00136081,2,10,20,8
S00136082,5,6,13,24
S00136083,5,18,16,21
S00136084,13,19,1,15
S00136085,19,14,1,10
S00136086,1,8,41,1
S00136087,21,24,15,1
S00136088,5,6,41,9
S00136089,54,14,0,4
S00136090,34,11,2,3
S00136091,17,23,1,19
S00136092,16,27,0,30
S00136093,9,10,19,27
S00136094,3,2,7,23
S00136095,16,7,2,4
S00136096,10,21,28,5
S00136097,5,22,56,2
S00136098,16,9,2,21
S00136099,16,24,5,36
S00136100,10,25,28,4
S00136101,16,9,8,32
S00136102,4,13,34,2
S00136103,6,0,2,60
S00136104,14,7,27,24
S00136105,6,3,31,21
S00136106,0,0,14,27
S00136107,11,13,32,7
S00136108,35,17,4,7
S00136109,18,17,3,10
S00136110,28,13,2,2
S00136111,12,2,48,10
S00136112,21,24,3,9
S00136113,14,14,1,20
S00136114,8,21,45,8
S00136115,10,7,52,13
S00136116,9,8,16,5
S00136117,3,15,38,20
S00136118,14,16,1,9
S00136119,7,14,3,23
S00136120,16,17,5,7
S00136121,29,22,15,2
S00136122,7,5,45,33
S00136123,25,19,8,21
S00136124,11,12,1,13
S00136125,15,16,1,13
S00136126,9,0,6,57
S00136127,15,16,6,33
S00136128,3,4,29,18
S00136129,6,7,10,41
S00136130,16,17,3,5
S00136131,9,6,21,22
S00136132,0,4,2,55
S00136133,16,33,2,4
S00136134,16,16,1,9
S00136135,12,10,16,9
S00136136,6,12,3,25
S00136137,2,2,1,58
S00136138,5,1,2,65
S00136139,1,0,1,64
S00136140,23,16,3,14
S00136141,10,20,17,3
S00136142,10,5,38,14
S00136143,17,19,5,2
S00136144,37,26,16,6
S00136145,6,7,32,12
S00136146,7,8,48,13
S00136147,6,8,5,14
S00136148,20,18,3,2
S00136149,12,13,3,18
S00136150,10,40,6,1
S00136151,13,14,0,10
S00136152,6,9,2,31
S00136153,2,8,31,5
S00136154,10,7,32,17
S00136155,15,42,1,4
S00136156,16,31,0,2
S00136157,3,14,16,1
S00136158,8,14,4,52
S00136159,12,15,1,10
S00136160,0,10,7,36
S00136161,7,15,1,25
S00136162,4,8,11,59
S00136163,3,5,1,39
S00136164,13,9,8,17
S00136165,1,4,0,30
S00136166,6,4,11,22
S00136167,2,0,0,64
S00136168,18,32,7,2
S00136169,1,8,1,23
S00136170,6,5,29,14
S00136171,8,6,18,10
S00136172,12,9,40,3
S00136173,2,4,17,19
S00136174,6,40,19,20
S00136175,13,10,4,10
S00136176,17,27,1,10
S00136177,14,16,0,16
S00136178,9,11,43,10
S00136179,11,13,33,19
S00136180,7,44,31,0
S00136181,5,7,26,8
S00136182,23,11,7,12
S00136183,11,23,6,10
S00136184,12,23,1,16
S00136185,4,9,38,1
S00136186,12,17,48,0
S00136187,16,15,1,12
S00136188,7,3,17,11
S00136189,7,6,31,9
S00136190,14,17,24,7
S00136191,0,10,27,6
S00136192,10,9,45,8
S00136193,4,17,43,5
S00136194,3,13,44,37
S00136195,6,4,37,1
S00136196,12,15,26,1
S00136197,11,10,45,4
S00136198,2,15,1,59
S00136199,9,11,20,3
S00136200,8,4,1,26
S00136201,6,21,26,3
S00136202,6,4,5,21
S00136203,12,21,1,10
S00136204,10,19,46,6
S00136205,5,4,33,17
S00136206,2,2,22,42
S00136207,7,10,28,1
S00136208,7,7,7,17
S00136209,11,9,2,24
S00136210,52,25,1,0
S00136211,4,5,49,2
S00136212,8,9,2,24
S00136213,15,10,2,14
S00136214,1,1,1,48
S00136215,11,14,5,14
S00136216,5,10,46,6
S00136217,21,22,5,17
S00136218,0,2,22,19
S00136219,3,6,28,1
S00136220,0,5,22,43
S00136221,2,18,17,0
S00136222,3,7,8,32
S00136223,46,27,3,4
S00136224,5,2,40,3
S00136225,7,10,1,37
S00136226,16,17,4,8
S00136227,3,8,14,17
S00136228,23,25,2,25
S00136229,9,9,5,39
S00136230,8,8,36,10
S00136231,1,1,8,73
S00136232,27,20,1,25
S00136233,7,6,27,4
S00136234,20,17,18,5
S00136235,26,2,0,1
S00136236,7,8,31,32
S00136237,6,14,54,9
S00136238,2,4,29,35
S00136239,11,6,23,3
S00136240,18,12,5,6
S00136241,4,1,26,6
S00136242,6,13,20,10
S00136243,6,11,30,0
S00136244,18,15,5,31
S00136245,1,2,13,49
S00136246,6,2,3,38
S00136247,27,21,2,8
S00136248,13,13,6,33
S00136249,16,10,3,16
S00136250,14,16,2,11
S00136251,6,7,31,19
S00136252,7,4,4,47
S00136253,1,5,26,5
S00136254,17,20,19,8
S00136255,4,28,29,10
S00136256,20,12,3,22
S00136257,5,18,39,5
S00136258,11,19,2,17
S00136259,5,38,5,30
S00136260,1,0,2,61
S00136261,9,7,16,24
S00136262,18,24,22,1
S00136263,8,3,5,42
S00136264,7,23,17,13
S00136265,4,9,42,0
S00136266,37,6,2,4
S00136267,2,12,38,8
S00136268,5,1,10,54
S00136269,13,8,25,16
S00136270,7,5,22,5
S00136271,24,26,2,1
S00136272,12,15,7,29
S00136273,6,11,0,20
S00136274,7,10,24,18
S00136275,11,12,42,8
S00136276,11,18,6,44
S00136277,11,10,20,1
S00136278,7,22,21,1
S00136279,5,4,26,8
S00136280,18,16,2,20
S00136281,22,22,37,1
S00136282,7,6,2,27
S00136283,6,0,7,25
S00136284,5,17,48,8
S00136285,8,5,36,27
S00136286,27,14,2,2
S00136287,16,16,8,2
S00136288,18,1,9,48
S00136289,14,17,2,49
S00136290,33,23,19,1
S00136291,14,8,49,1
S00136292,15,17,2,32
S00136293,19,14,8,0
S00136294,16,7,2,16
S00136295,3,4,7,44
S00136296,5,10,32,14
S00136297,8,1,13,48
S00136298,6,9,34,32
S00136299,22,31,8,0
S00136300,0,11,5,32
S00136301,14,20,28,16
S00136302,19,22,14,17
S00136303,9,25,26,8
S00136304,3,12,31,14
S00136305,4,11,40,17
S00136306,5,10,3,31
S00136307,4,13,38,3
S00136308,30,30,11,2
S00136309,24,22,6,18
S00136310,11,12,49,1
S00136311,23,13,4,3
S00136312,18,24,11,1
S00136313,5,15,24,8
S00136314,13,13,41,2
S00136315,11,9,29,22
S00136316,10,6,9,17
S00136317,30,14,5,0
S00136318,30,11,3,3
S00136319,3,14,40,2
S00136320,15,11,14,3
S00136321,1,13,31,9
S00136322,5,5,2,26
S00136323,23,20,3,4
S00136324,7,7,16,17
S00136325,30,28,2,1
S00136326,15,11,37,1
S00136327,10,7,2,17
S00136328,9,13,21,2
S00136329,6,14,11,36
S00136330,8,12,37,20
S00136331,5,2,27,13
S00136332,18,9,2,23
S00136333,5,9,20,9
S00136334,13,6,35,25
S00136335,7,7,18,1
S00136336,10,12,9,23
S00136337,19,17,5,15
S00136338,8,8,46,7
S00136339,4,2,13,57
S00136340,14,10,7,12
S00136341,6,13,19,3
S00136342,1,8,34,5
S00136343,2,15,42,5
S00136344,10,16,10,6
S00136345,46,13,11,5
S00136346,20,15,11,4
S00136347,3,10,8,10
S00136348,13,11,12,27
S00136349,8,23,37,3
S00136350,5,10,8,28
S00136351,21,15,9,4
S00136352,0,1,6,56
S00136353,8,13,12,48
S00136354,0,1,17,36
S00136355,14,12,38,3
S00136356,3,7,26,4
S00136357,17,9,6,15
S00136358,11,26,26,2
S00136359,7,7,8,34
S00136360,3,4,8,24
S00136361,7,7,25,6
S00136362,15,16,38,1
S00136363,16,18,9,1
S00136364,10,10,42,2
S00136365,15,11,5,40
S00136366,10,17,4,30
S00136367,12,15,31,2
S00136368,18,10,4,6
S00136369,13,20,3,47
S00136370,9,14,13,12
S00136371,9,8,17,14
S00136372,14,16,3,25
S00136373,7,11,36,25
S00136374,25,24,1,26
S00136375,24,20,4,19
S00136376,16,22,12,5
S00136377,3,8,25,7
S00136378,8,11,22,10
