id,Ages1_urbanrural%urban,Ages1_urbanrural%rural,s2_hh_size%hhsize_1,s2_hh_size%hhsize_2,s2_hh_size%hhsize_3,s2_hh_size%hhsize_4,s2_hh_size%hhsize_5,s2_hh_size%hhsize_6,s2_hh_size%hhsize_7,s2_hh_size%hhsize_8,s3_hhtenure%owned_outright,s3_hhtenure%owned_mortgage,s3_hhtenure%private_rented,s3_hhtenure%social_rented
68992826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69006426,1,0,0,1,0,0,0,0,0,0,0,0,1,0
69026826,1,0,0,0,1,0,0,0,0,0,0,0,1,0
69054026,1,0,0,0,0,0,1,0,0,0,0,1,0,0
69060826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69067626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69074426,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69081226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69088026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69094826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69108426,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69115226,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69122026,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69128826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69135626,1,0,0,0,0,0,0,1,0,0,0,1,0,0
69142426,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69156026,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69176426,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69183226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69196826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
69203626,0,1,0,0,0,0,1,0,0,0,0,1,0,0
69210426,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69217226,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69224026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69230826,0,1,1,0,0,0,0,0,0,0,1,0,0,0
69237626,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69264826,1,0,0,0,1,0,0,0,0,0,0,0,1,0
69271626,0,1,0,0,1,0,0,0,0,0,1,0,0,0
69278426,1,0,0,0,0,0,1,0,0,0,1,0,0,0
69285226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69292026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69298826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69305626,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69312426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69319226,0,1,0,0,1,0,0,0,0,0,0,0,1,0
69332826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69339626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69346426,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69353226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69360026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69366826,1,0,0,1,0,0,0,0,0,0,0,0,0,1
69373626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69380426,1,0,0,1,0,0,0,0,0,0,0,0,0,1
69387226,1,0,0,1,0,0,0,0,0,0,0,0,0,1
69394026,1,0,0,1,0,0,0,0,0,0,0,0,1,0
69407626,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69414426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69421226,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69434826,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69441626,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69448426,1,0,0,0,1,0,0,0,0,0,0,0,0,1
69455226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69462026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69475626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69482426,1,0,0,0,1,0,0,0,0,0,1,0,0,0
69489226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69502826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69509626,1,0,0,0,0,1,0,0,0,0,0,1,0,0
69516426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69523226,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69550426,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69564026,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69564706,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69570826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69598026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69604826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69611626,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69618426,0,1,0,0,0,0,1,0,0,0,0,1,0,0
69638826,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69645626,0,1,0,0,0,1,0,0,0,0,0,1,0,0
69652426,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69659226,1,0,0,1,0,0,0,0,0,0,0,0,0,1
69666026,1,0,0,1,0,0,0,0,0,0,0,0,0,1
69672826,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69679626,1,0,0,0,0,0,0,1,0,0,0,1,0,0
69686426,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69693226,1,0,1,0,0,0,0,0,0,0,0,1,0,0
69700026,0,1,0,1,0,0,0,0,0,0,0,0,0,1
69706826,1,0,0,1,0,0,0,0,0,0,0,0,1,0
69713626,0,1,1,0,0,0,0,0,0,0,0,0,0,1
69720426,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69727226,0,1,0,0,1,0,0,0,0,0,1,0,0,0
69734026,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69740826,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69754426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69761226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69768026,1,0,0,1,0,0,0,0,0,0,0,0,1,0
69774826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
69781626,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69795226,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69802026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69815626,0,1,0,0,1,0,0,0,0,0,0,1,0,0
69822426,0,1,0,0,1,0,0,0,0,0,1,0,0,0
69829226,0,1,1,0,0,0,0,0,0,0,1,0,0,0
69836026,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69842826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
69849626,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69863226,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69870026,0,1,0,0,0,0,1,0,0,0,1,0,0,0
69883626,1,0,0,0,0,1,0,0,0,0,0,0,1,0
69890426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69904026,0,1,1,0,0,0,0,0,0,0,1,0,0,0
69910826,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69917626,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69924426,0,1,0,1,0,0,0,0,0,0,0,0,1,0
69931226,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69938026,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69958426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69965226,1,0,0,0,0,1,0,0,0,0,0,0,1,0
69972026,1,0,0,1,0,0,0,0,0,0,0,0,0,1
69978826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
69985626,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69999226,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70006026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70012826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70019626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70026426,1,0,0,0,1,0,0,0,0,0,0,0,0,1
70033226,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70040026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70046826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70053626,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70060426,0,1,1,0,0,0,0,0,0,0,0,0,1,0
70067226,0,1,0,0,0,1,0,0,0,0,0,0,0,1
70080826,0,1,0,1,0,0,0,0,0,0,0,0,1,0
70087626,0,1,1,0,0,0,0,0,0,0,1,0,0,0
70094426,0,1,0,1,0,0,0,0,0,0,0,0,0,1
70101226,0,1,1,0,0,0,0,0,0,0,0,1,0,0
70108026,1,0,0,1,0,0,0,0,0,0,0,1,0,0
70114826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70121626,1,0,0,0,1,0,0,0,0,0,0,0,0,1
70128426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70135226,0,1,0,0,1,0,0,0,0,0,1,0,0,0
70142026,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70148826,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70155626,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70162426,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70169226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
70176026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70182826,1,0,0,1,0,0,0,0,0,0,0,0,1,0
70189626,1,0,0,0,1,0,0,0,0,0,0,1,0,0
70196426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70203226,1,0,0,0,1,0,0,0,0,0,0,1,0,0
70210026,1,0,1,0,0,0,0,0,0,0,0,0,0,1
70216826,0,1,0,0,0,1,0,0,0,0,0,1,0,0
70223626,0,1,1,0,0,0,0,0,0,0,0,1,0,0
70257626,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70264426,1,0,0,0,0,0,0,1,0,0,0,0,0,1
70271226,1,0,1,0,0,0,0,0,0,0,0,0,0,1
70284826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70291626,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70298426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70305226,1,0,0,0,0,0,1,0,0,0,0,0,1,0
70312026,1,0,0,0,0,0,1,0,0,0,1,0,0,0
70318826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70319506,1,0,1,0,0,0,0,0,0,0,0,0,1,0
70332426,1,0,0,0,0,1,0,0,0,0,1,0,0,0
70339226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70346026,1,0,0,0,0,1,0,0,0,0,0,0,1,0
70359626,1,0,0,1,0,0,0,0,0,0,0,0,1,0
70373226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70386826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70393626,1,0,0,0,0,0,1,0,0,0,1,0,0,0
70414026,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70420826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
70427626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70448026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70454826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
70461626,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70475226,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70482026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70495626,0,1,1,0,0,0,0,0,0,0,1,0,0,0
70502426,1,0,0,0,0,1,0,0,0,0,0,0,0,1
70509226,0,1,1,0,0,0,0,0,0,0,0,1,0,0
70516026,0,1,0,1,0,0,0,0,0,0,0,0,0,1
70536426,1,0,0,0,1,0,0,0,0,0,0,1,0,0
70543226,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70550026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70556826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70563626,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70570426,1,0,0,0,0,1,0,0,0,0,0,0,1,0
70577226,1,0,0,1,0,0,0,0,0,0,0,0,1,0
70584026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70597626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70611226,0,1,0,0,1,0,0,0,0,0,1,0,0,0
70618026,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70624826,0,1,0,1,0,0,0,0,0,0,0,0,1,0
70638426,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70645226,0,1,0,0,1,0,0,0,0,0,0,1,0,0
70652026,0,1,1,0,0,0,0,0,0,0,1,0,0,0
70658826,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70665626,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70672426,1,0,1,0,0,0,0,0,0,0,0,0,1,0
70686026,1,0,1,0,0,0,0,0,0,0,0,0,1,0
70692826,0,1,0,0,0,1,0,0,0,0,0,1,0,0
70706426,1,0,0,0,0,0,0,1,0,0,0,0,0,1
70713226,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70720026,1,0,1,0,0,0,0,0,0,0,0,0,0,1
70726826,0,1,0,0,0,1,0,0,0,0,0,0,0,1
70747226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70754026,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70760826,1,0,1,0,0,0,0,0,0,0,0,0,0,1
70767626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70781226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70788026,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70794826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
70801626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70815226,0,1,1,0,0,0,0,0,0,0,1,0,0,0
70828826,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70835626,0,1,0,0,1,0,0,0,0,0,0,1,0,0
70849226,0,1,1,0,0,0,0,0,0,0,1,0,0,0
70862826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
70876426,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70883226,1,0,0,1,0,0,0,0,0,0,0,0,1,0
70896826,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70910426,0,1,1,0,0,0,0,0,0,0,0,1,0,0
70917226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
70924026,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70930826,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70937626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70944426,0,1,0,0,1,0,0,0,0,0,1,0,0,0
70951226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
70964826,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70971626,1,0,1,0,0,0,0,0,0,0,0,1,0,0
70978426,1,0,0,1,0,0,0,0,0,0,0,0,0,1
71005626,0,1,0,0,0,1,0,0,0,0,0,1,0,0
71012426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71019226,1,0,0,1,0,0,0,0,0,0,0,0,1,0
71032826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71039626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71053226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71060026,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71066826,1,0,0,0,1,0,0,0,0,0,0,0,1,0
71073626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71080426,0,1,0,0,1,0,0,0,0,0,0,1,0,0
71094026,1,0,0,1,0,0,0,0,0,0,0,0,0,1
71100826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71107626,0,1,1,0,0,0,0,0,0,0,0,1,0,0
71121226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71128026,1,0,0,1,0,0,0,0,0,0,0,1,0,0
71134826,1,0,1,0,0,0,0,0,0,0,0,0,0,1
71141626,1,0,1,0,0,0,0,0,0,0,0,0,1,0
71148426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71155226,1,0,0,0,1,0,0,0,0,0,0,1,0,0
71162026,1,0,0,0,1,0,0,0,0,0,0,0,0,1
71168826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
71169506,1,0,1,0,0,0,0,0,0,0,0,0,1,0
71175626,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71182426,1,0,0,1,0,0,0,0,0,0,0,1,0,0
71189226,0,1,0,1,0,0,0,0,0,0,1,0,0,0
71196026,0,1,0,0,0,1,0,0,0,0,0,1,0,0
71202826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71209626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71223226,1,0,1,0,0,0,0,0,0,0,0,1,0,0
71236826,0,1,1,0,0,0,0,0,0,0,0,1,0,0
71243626,1,0,0,0,1,0,0,0,0,0,1,0,0,0
71250426,0,1,0,0,0,1,0,0,0,0,0,1,0,0
71264026,0,1,0,0,1,0,0,0,0,0,0,1,0,0
71270826,0,1,0,0,1,0,0,0,0,0,0,0,1,0
71277626,0,1,0,1,0,0,0,0,0,0,0,1,0,0
71284426,0,1,0,0,1,0,0,0,0,0,0,1,0,0
71291226,0,1,1,0,0,0,0,0,0,0,1,0,0,0
71311626,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71318426,0,1,1,0,0,0,0,0,0,0,0,1,0,0
71325226,0,1,1,0,0,0,0,0,0,0,1,0,0,0
71332026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71338826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
71345626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71352426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71359226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71366026,1,0,1,0,0,0,0,0,0,0,0,0,0,1
71372826,1,0,1,0,0,0,0,0,0,0,0,1,0,0
71379626,1,0,0,1,0,0,0,0,0,0,0,1,0,0
71386426,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71400026,1,0,0,0,0,1,0,0,0,0,0,0,0,1
71420426,1,0,0,1,0,0,0,0,0,0,0,0,1,0
71427226,1,0,0,1,0,0,0,0,0,0,0,0,0,1
71447626,1,0,0,0,0,0,1,0,0,0,0,0,0,1
71461226,1,0,0,0,0,0,0,1,0,0,0,1,0,0
71468026,1,0,0,0,0,0,0,1,0,0,0,0,1,0
71474826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71495226,1,0,1,0,0,0,0,0,0,0,0,0,1,0
71502026,1,0,0,0,1,0,0,0,0,0,0,0,0,1
71515626,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71522426,1,0,0,0,0,0,1,0,0,0,0,1,0,0
71536026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71542826,1,0,0,0,0,0,0,1,0,0,1,0,0,0
71549626,1,0,0,1,0,0,0,0,0,0,0,0,0,1
71556426,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71563226,1,0,1,0,0,0,0,0,0,0,0,0,0,1
71570026,1,0,1,0,0,0,0,0,0,0,0,1,0,0
71583626,1,0,1,0,0,0,0,0,0,0,0,0,0,1
71590426,1,0,0,0,0,0,1,0,0,0,0,1,0,0
71604026,1,0,1,0,0,0,0,0,0,0,0,0,0,1
71610826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71631226,1,0,0,0,0,0,1,0,0,0,1,0,0,0
71638026,1,0,0,1,0,0,0,0,0,0,0,0,0,1
71665226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71678826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71685626,1,0,0,0,1,0,0,0,0,0,0,1,0,0
71699226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
71712826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71719626,1,0,0,0,1,0,0,0,0,0,0,0,0,1
71726426,1,0,0,1,0,0,0,0,0,0,0,0,1,0
71733226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71740026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71746826,1,0,0,0,0,0,1,0,0,0,1,0,0,0
71767226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71774026,1,0,0,0,0,1,0,0,0,0,1,0,0,0
71780826,1,0,1,0,0,0,0,0,0,0,0,0,1,0
71794426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71801226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71808026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
71821626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71828426,1,0,0,0,0,1,0,0,0,0,0,1,0,0
71842026,0,1,0,0,0,1,0,0,0,0,1,0,0,0
71848826,1,0,1,0,0,0,0,0,0,0,1,0,0,0
71855626,0,1,0,1,0,0,0,0,0,0,1,0,0,0
71862426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
