hidp,s1_urbanrural,s2_hh_size,s3_hhtenure
71984826,urban,hhsize_2,owned_outright
71991626,urban,hhsize_2,owned_outright
71998426,urban,hhsize_3,owned_mortgage
72005226,rural,hhsize_1,owned_outright
72012026,urban,hhsize_2,private_rented
72018826,urban,hhsize_4,private_rented
72025626,urban,hhsize_2,owned_outright
72032426,urban,hhsize_2,owned_outright
72046026,urban,hhsize_1,owned_outright
72052826,urban,hhsize_2,owned_outright
72059626,rural,hhsize_3,owned_mortgage
72066426,urban,hhsize_1,owned_outright
72073226,urban,hhsize_1,owned_mortgage
72086826,rural,hhsize_4,owned_mortgage
72093626,urban,hhsize_1,owned_mortgage
72120826,rural,hhsize_2,owned_outright
72127626,urban,hhsize_1,owned_mortgage
72141226,urban,hhsize_3,owned_mortgage
72148026,rural,hhsize_3,owned_outright
72161626,rural,hhsize_2,owned_outright
72168426,rural,hhsize_2,owned_outright
72175226,urban,hhsize_2,social_rented
72182026,urban,hhsize_2,owned_mortgage
72195626,urban,hhsize_3,owned_outright
72202426,urban,hhsize_1,private_rented
72209226,urban,hhsize_2,owned_outright
72216026,urban,hhsize_4,owned_mortgage
72222826,urban,hhsize_1,owned_outright
72229626,rural,hhsize_3,owned_outright
72236426,rural,hhsize_2,owned_mortgage
72243226,urban,hhsize_1,owned_mortgage
72250026,urban,hhsize_3,owned_mortgage
72263626,urban,hhsize_1,private_rented
72270426,urban,hhsize_1,owned_mortgage
72277226,urban,hhsize_2,owned_outright
72297626,rural,hhsize_1,owned_mortgage
72304426,rural,hhsize_6,social_rented
72311226,urban,hhsize_1,owned_mortgage
72318026,urban,hhsize_1,owned_mortgage
72331626,urban,hhsize_2,owned_outright
72352026,rural,hhsize_1,owned_outright
72358826,rural,hhsize_2,owned_outright
72365626,urban,hhsize_1,owned_outright
72379226,urban,hhsize_1,private_rented
72386026,urban,hhsize_1,private_rented
72392826,urban,hhsize_4,owned_mortgage
72406426,urban,hhsize_4,owned_outright
72426826,urban,hhsize_2,private_rented
72433626,urban,hhsize_3,owned_mortgage
72440426,urban,hhsize_4,owned_mortgage
72447226,urban,hhsize_1,owned_outright
72454026,urban,hhsize_4,owned_mortgage
72460826,urban,hhsize_4,owned_mortgage
72467626,urban,hhsize_2,owned_mortgage
72474426,rural,hhsize_3,owned_outright
72481226,urban,hhsize_2,owned_outright
72488026,urban,hhsize_1,owned_outright
72494826,urban,hhsize_1,private_rented
72501626,urban,hhsize_3,owned_outright
72508426,urban,hhsize_4,social_rented
72515226,urban,hhsize_4,owned_mortgage
72528826,urban,hhsize_1,social_rented
72535626,urban,hhsize_2,owned_mortgage
72556026,urban,hhsize_2,private_rented
72569626,urban,hhsize_2,owned_outright
72583226,urban,hhsize_2,owned_mortgage
72590026,urban,hhsize_3,owned_mortgage
72610426,urban,hhsize_2,owned_outright
72617226,urban,hhsize_2,owned_outright
72637626,urban,hhsize_2,owned_outright
72644426,urban,hhsize_1,owned_mortgage
72651226,urban,hhsize_1,owned_outright
72671626,urban,hhsize_4,owned_mortgage
72678426,rural,hhsize_2,owned_outright
72692026,urban,hhsize_4,owned_outright
72705626,urban,hhsize_2,owned_outright
72712426,rural,hhsize_2,owned_mortgage
72719226,rural,hhsize_2,social_rented
72732826,urban,hhsize_2,owned_outright
72739626,urban,hhsize_2,owned_outright
72746426,urban,hhsize_2,owned_outright
72753226,urban,hhsize_1,owned_mortgage
72760026,urban,hhsize_2,owned_outright
72766826,urban,hhsize_1,owned_mortgage
72773626,rural,hhsize_5,owned_outright
72780426,urban,hhsize_1,owned_mortgage
72787226,urban,hhsize_1,owned_outright
72807626,urban,hhsize_4,owned_mortgage
72814426,urban,hhsize_1,owned_outright
72821226,urban,hhsize_1,owned_outright
72841626,rural,hhsize_4,owned_mortgage
72848426,urban,hhsize_2,owned_mortgage
72855226,urban,hhsize_3,owned_outright
72862026,urban,hhsize_5,owned_mortgage
72882426,urban,hhsize_2,owned_outright
72889226,urban,hhsize_3,owned_outright
72896026,urban,hhsize_3,private_rented
72902826,urban,hhsize_3,owned_mortgage
72909626,urban,hhsize_4,owned_mortgage
72916426,rural,hhsize_2,owned_outright
72923226,urban,hhsize_4,owned_mortgage
72930026,urban,hhsize_5,social_rented
72936826,urban,hhsize_4,private_rented
72943626,urban,hhsize_5,owned_mortgage
72957226,urban,hhsize_2,owned_mortgage
72977626,rural,hhsize_6,social_rented
72991226,rural,hhsize_5,owned_mortgage
72998026,urban,hhsize_1,owned_outright
73004826,urban,hhsize_5,owned_mortgage
73011626,urban,hhsize_4,owned_mortgage
73018426,rural,hhsize_3,owned_outright
73025226,rural,hhsize_3,owned_mortgage
73032026,rural,hhsize_1,owned_mortgage
73038826,urban,hhsize_1,private_rented
73045626,urban,hhsize_3,owned_outright
73059226,urban,hhsize_2,owned_mortgage
73072826,urban,hhsize_2,owned_mortgage
73079626,rural,hhsize_1,owned_outright
73086426,urban,hhsize_5,owned_mortgage
73093226,rural,hhsize_2,owned_mortgage
73100026,rural,hhsize_5,social_rented
73106826,urban,hhsize_2,owned_mortgage
73113626,rural,hhsize_2,owned_mortgage
73120426,urban,hhsize_4,owned_mortgage
73127226,urban,hhsize_1,private_rented
73134026,urban,hhsize_2,owned_outright
73154426,urban,hhsize_4,owned_mortgage
73161226,urban,hhsize_1,owned_mortgage
73168026,urban,hhsize_5,owned_mortgage
73174826,urban,hhsize_4,owned_mortgage
73181626,urban,hhsize_1,owned_outright
73188426,rural,hhsize_5,owned_mortgage
73195226,urban,hhsize_2,owned_outright
73208826,urban,hhsize_2,social_rented
73215626,rural,hhsize_3,owned_mortgage
73222426,urban,hhsize_4,private_rented
73229226,rural,hhsize_2,owned_outright
73242826,rural,hhsize_4,private_rented
73249626,urban,hhsize_1,owned_mortgage
73256426,rural,hhsize_2,owned_mortgage
73263226,urban,hhsize_4,owned_mortgage
73270026,rural,hhsize_2,owned_mortgage
73276826,rural,hhsize_1,owned_outright
73283626,urban,hhsize_1,owned_outright
73290426,urban,hhsize_5,owned_mortgage
73310826,urban,hhsize_4,owned_outright
73317626,urban,hhsize_2,owned_mortgage
73324426,rural,hhsize_3,owned_mortgage
73338026,urban,hhsize_4,owned_outright
73344826,urban,hhsize_2,owned_mortgage
73345506,urban,hhsize_1,private_rented
73351626,urban,hhsize_2,owned_outright
73358426,urban,hhsize_1,private_rented
73365226,urban,hhsize_1,private_rented
73372026,urban,hhsize_1,owned_outright
73378826,urban,hhsize_2,owned_outright
73392426,rural,hhsize_1,owned_mortgage
73399226,urban,hhsize_1,owned_outright
73406026,urban,hhsize_1,owned_outright
73419626,urban,hhsize_2,social_rented
73433226,urban,hhsize_6,social_rented
73440026,urban,hhsize_2,owned_outright
73446826,rural,hhsize_1,owned_outright
73453626,rural,hhsize_4,owned_mortgage
73467226,urban,hhsize_2,private_rented
73480826,urban,hhsize_2,owned_outright
73487626,rural,hhsize_2,owned_outright
73494426,urban,hhsize_2,owned_outright
73508026,urban,hhsize_2,owned_mortgage
73514826,urban,hhsize_4,owned_outright
73521626,urban,hhsize_1,owned_outright
73528426,rural,hhsize_2,owned_mortgage
73535226,urban,hhsize_2,owned_outright
73548826,rural,hhsize_1,social_rented
73589626,urban,hhsize_2,owned_mortgage
73610026,rural,hhsize_5,owned_mortgage
73616826,urban,hhsize_1,social_rented
73630426,urban,hhsize_1,private_rented
73637226,rural,hhsize_4,owned_outright
73650826,urban,hhsize_3,social_rented
73664426,rural,hhsize_2,owned_outright
73671226,rural,hhsize_2,owned_mortgage
73678026,rural,hhsize_1,owned_outright
73684826,rural,hhsize_2,owned_outright
73691626,rural,hhsize_2,owned_outright
73698426,urban,hhsize_2,owned_outright
73712026,urban,hhsize_2,owned_outright
73718826,urban,hhsize_2,owned_outright
73725626,rural,hhsize_3,owned_mortgage
73732426,urban,hhsize_1,owned_outright
73739226,rural,hhsize_1,social_rented
73746026,urban,hhsize_1,social_rented
73752826,urban,hhsize_2,owned_outright
73759626,urban,hhsize_4,owned_mortgage
73766426,rural,hhsize_1,owned_outright
73780026,urban,hhsize_1,owned_outright
73786826,urban,hhsize_3,owned_outright
73793626,rural,hhsize_2,owned_mortgage
73800426,urban,hhsize_5,owned_mortgage
73814026,urban,hhsize_1,owned_outright
73834426,rural,hhsize_2,owned_outright
73841226,rural,hhsize_1,private_rented
73854826,urban,hhsize_1,owned_mortgage
73861626,rural,hhsize_3,owned_outright
73868426,rural,hhsize_1,owned_mortgage
73875226,urban,hhsize_4,owned_mortgage
73882026,rural,hhsize_3,owned_mortgage
73888826,urban,hhsize_2,private_rented
73895626,rural,hhsize_3,owned_outright
73902426,urban,hhsize_2,private_rented
73909226,rural,hhsize_3,owned_outright
73916026,urban,hhsize_1,owned_mortgage
73922826,urban,hhsize_2,owned_mortgage
73929626,urban,hhsize_1,social_rented
73936426,urban,hhsize_2,social_rented
73943226,urban,hhsize_1,owned_outright
73950026,urban,hhsize_3,owned_outright
73956826,rural,hhsize_3,owned_mortgage
73963626,urban,hhsize_2,social_rented
73970426,rural,hhsize_2,owned_outright
73977226,rural,hhsize_3,owned_outright
73984026,urban,hhsize_4,owned_mortgage
73997626,rural,hhsize_2,owned_mortgage
74004426,urban,hhsize_1,owned_outright
74011226,rural,hhsize_1,private_rented
74018026,rural,hhsize_2,owned_mortgage
74024826,rural,hhsize_1,owned_outright
74031626,rural,hhsize_4,owned_mortgage
74038426,rural,hhsize_1,owned_mortgage
74045226,rural,hhsize_2,owned_outright
74052026,urban,hhsize_2,owned_outright
74058826,rural,hhsize_4,owned_mortgage
74065626,urban,hhsize_1,owned_outright
74072426,rural,hhsize_1,owned_outright
74079226,urban,hhsize_4,owned_mortgage
74086026,urban,hhsize_4,owned_mortgage
74092826,urban,hhsize_1,private_rented
74099626,rural,hhsize_4,owned_mortgage
74106426,rural,hhsize_1,social_rented
74113226,rural,hhsize_4,owned_outright
74120026,rural,hhsize_3,owned_outright
74126826,rural,hhsize_2,owned_outright
74133626,urban,hhsize_4,owned_mortgage
74140426,rural,hhsize_4,private_rented
