areacode,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_7,hhsize_8
S00135394,12,28,10,4,4,1,0,1
S00135395,2,11,10,4,1,1,1,0
S00135396,32,19,7,5,2,2,0,0
S00135397,4,14,12,12,0,1,0,0
S00135398,14,14,11,8,0,0,2,1
S00135399,19,12,11,4,4,1,0,0
S00135400,19,34,5,10,3,2,0,0
S00135401,11,21,9,4,0,0,0,0
S00135402,34,10,3,3,0,0,1,1
S00135403,21,19,6,8,2,2,0,0
S00135404,19,10,6,6,0,0,0,2
S00135405,21,25,12,16,1,0,0,1
S00135406,8,37,14,8,0,2,2,0
S00135407,12,22,12,9,5,0,0,0
S00135408,28,25,11,4,3,1,1,0
S00135409,13,16,3,4,0,0,0,0
S00135410,25,20,6,5,0,1,0,2
S00135411,41,32,14,5,2,1,0,0
S00135412,16,21,6,6,2,0,0,0
S00135413,7,35,8,4,1,0,0,1
S00135414,8,17,6,6,0,0,1,1
S00135415,9,12,8,8,3,0,0,0
S00135416,17,31,15,12,2,2,1,0
S00135417,37,19,4,2,1,0,1,0
S00135418,9,19,20,14,3,1,1,0
S00135419,41,10,1,4,0,0,0,1
S00135420,24,37,8,6,0,0,0,0
S00135421,19,21,6,7,0,1,1,1
S00135422,32,13,9,5,2,0,0,0
S00135423,11,24,15,15,4,1,0,0
S00135424,30,19,6,3,1,2,0,1
S00135425,33,16,8,3,3,0,0,0
S00135426,5,28,9,9,4,0,0,0
S00135427,24,31,7,3,2,0,0,0
S00135428,2,11,6,7,1,0,0,0
S00135429,10,16,7,3,0,0,0,1
S00135430,9,22,5,5,3,0,3,0
S00135431,13,18,7,4,3,1,0,0
S00135432,16,31,7,3,0,1,1,0
S00135433,19,22,10,7,0,0,0,1
S00135434,23,28,4,4,0,0,0,0
S00135435,15,20,1,3,1,0,0,1
S00135436,12,26,5,3,3,0,0,0
S00135437,21,22,9,6,2,0,0,0
S00135438,17,16,6,1,0,1,0,0
S00135439,21,17,3,4,1,1,0,0
S00135440,13,27,10,5,4,1,0,1
S00135441,21,23,6,7,2,1,2,0
S00135442,39,12,0,1,0,0,0,0
S00135443,22,22,2,5,0,0,1,0
S00135444,3,11,7,12,1,0,0,0
S00135445,18,28,10,6,1,1,0,0
S00135446,23,35,5,6,6,1,1,0
S00135447,15,19,8,11,3,1,0,0
S00135448,15,12,13,18,2,1,0,0
S00135449,48,21,3,0,0,0,0,0
S00135450,13,28,4,1,0,0,1,0
S00135451,17,16,2,0,0,3,0,0
S00135452,28,8,6,0,0,0,2,0
S00135453,33,15,6,3,2,1,0,0
S00135454,30,18,8,5,1,0,2,0
S00135455,30,17,6,5,0,0,0,2
S00135456,10,23,2,3,3,0,0,0
S00135457,13,21,1,3,0,1,0,0
S00135458,2,13,4,5,2,2,0,0
S00135459,41,20,8,4,0,0,0,0
S00135460,14,21,9,6,3,2,0,0
S00135461,8,20,8,7,3,2,1,2
S00135462,10,28,13,11,2,0,0,0
S00135463,28,29,8,4,3,2,0,0
S00135464,25,18,7,3,2,0,1,0
S00135465,26,28,4,5,0,1,0,0
S00135466,13,16,11,3,1,1,0,1
S00135467,13,14,5,8,1,0,0,1
S00135468,26,13,4,0,1,0,1,0
S00135469,15,33,7,3,1,0,0,0
S00135470,8,18,12,5,5,3,1,1
S00135471,26,20,6,14,3,0,0,0
S00135472,13,31,15,8,1,0,0,1
S00135473,11,25,5,8,2,1,1,0
S00135474,14,17,5,11,1,0,1,0
S00135475,7,14,7,8,2,0,1,1
S00135476,14,21,8,3,3,0,0,0
S00135477,10,17,13,3,0,1,1,2
S00135478,53,16,1,0,2,0,0,0
S00135479,1,25,18,6,0,0,0,0
S00135480,30,26,5,7,1,0,0,0
S00135481,12,34,3,6,1,1,0,3
S00135482,15,17,4,4,0,1,0,0
S00135483,20,25,6,5,0,0,1,0
S00135484,10,18,4,3,0,0,1,1
S00135485,24,31,13,8,1,1,0,0
S00135486,5,21,6,8,3,1,0,0
S00135487,12,42,6,7,4,0,0,0
S00135488,11,18,6,11,2,0,0,0
S00135489,37,25,4,11,1,0,0,0
S00135490,12,28,11,6,1,0,0,0
S00135491,33,23,7,5,0,2,2,0
S00135492,20,20,12,7,2,0,0,0
S00135493,27,27,8,14,2,1,0,0
S00135494,7,17,9,5,1,1,1,1
S00135495,7,18,8,7,2,1,0,0
S00135496,6,18,8,7,0,1,0,1
S00135497,10,35,20,16,1,1,0,2
S00135498,43,20,2,8,3,2,0,1
S00135499,15,13,4,13,5,0,1,0
S00135500,5,10,10,16,0,0,0,0
S00135501,19,34,6,4,2,0,0,1
S00135502,48,23,7,3,1,0,0,0
S00135503,20,15,5,2,3,2,0,0
S00135504,25,43,5,1,0,0,0,1
S00135505,20,17,14,17,0,0,0,1
S00135506,10,20,7,2,2,1,0,1
S00135507,6,19,11,15,4,1,1,1
S00135508,20,14,3,0,0,0,1,0
S00135509,16,27,8,3,0,0,0,0
S00135510,29,25,8,1,0,1,0,1
S00135511,52,19,9,1,0,0,0,0
S00135512,14,26,10,6,1,0,0,0
S00135513,29,29,3,0,2,0,0,0
S00135514,28,21,7,5,0,1,0,0
S00135515,34,26,12,7,3,0,0,0
S00135516,16,29,12,3,3,1,0,0
S00135517,31,25,5,4,0,1,0,0
S00135518,14,17,6,3,1,0,0,0
S00135519,1,31,12,9,0,0,0,1
S00135520,17,28,12,8,1,0,4,0
S00135521,45,20,3,4,1,1,0,0
S00135522,23,19,8,0,0,1,0,0
S00135523,21,18,1,1,0,1,0,0
S00135524,40,29,2,0,0,0,1,0
S00135525,4,23,9,6,2,0,1,0
S00135526,33,19,7,1,1,1,0,1
S00135527,18,14,3,4,0,0,0,1
S00135528,41,38,10,4,1,0,0,0
S00135529,32,36,5,5,0,0,0,0
S00135530,10,21,4,4,0,1,0,0
S00135531,29,18,2,4,1,0,1,0
S00135532,9,15,7,6,2,1,1,0
S00135533,44,16,6,9,0,0,0,0
S00135534,11,16,9,10,0,0,1,0
S00135535,7,14,13,13,2,0,2,0
S00135536,12,18,14,16,6,1,1,1
S00135537,21,35,6,8,1,0,0,0
S00135538,14,24,3,3,0,1,0,1
S00135539,34,9,5,3,1,1,0,1
S00135540,19,23,10,8,3,0,0,2
S00135541,16,18,5,1,1,0,2,0
S00135542,17,28,15,10,4,1,0,1
S00135543,18,23,14,11,1,3,1,0
S00135544,29,18,1,4,1,1,0,1
S00135545,43,29,4,1,1,1,0,0
S00135546,30,16,4,2,0,0,1,0
S00135547,17,23,16,10,6,1,1,0
S00135548,24,15,4,3,0,1,1,0
S00135549,23,11,1,4,0,0,0,0
S00135550,37,15,13,2,2,0,1,0
S00135551,16,18,11,6,3,1,0,1
S00135552,33,23,10,5,0,1,1,0
S00135553,11,40,15,14,3,0,0,0
S00135554,16,17,2,5,0,0,0,1
S00135555,14,39,7,9,2,1,0,0
S00135556,45,20,2,0,2,0,0,0
S00135557,11,22,5,4,1,0,0,0
S00135558,17,18,17,6,3,0,1,0
S00135559,31,24,5,0,2,0,1,0
S00135560,38,16,1,5,1,0,2,0
S00135561,22,11,7,5,0,1,1,1
S00135562,15,17,9,4,0,0,0,0
S00135563,19,11,4,1,0,1,0,0
S00135564,19,25,8,1,0,2,0,0
S00135565,11,10,7,4,0,0,1,0
S00135566,19,24,2,4,0,0,0,1
S00135567,21,18,10,7,1,0,0,0
S00135568,34,23,13,7,2,0,1,0
S00135569,24,21,8,3,0,1,0,0
S00135570,15,30,4,5,0,0,0,1
S00135571,30,15,9,4,0,0,0,0
S00135572,8,23,8,6,1,0,2,1
S00135573,12,15,7,5,4,1,1,0
S00135574,12,9,8,8,4,0,0,0
S00135575,34,24,8,7,3,0,1,0
S00135576,40,17,10,2,2,1,0,0
S00135577,34,18,4,5,4,1,0,0
S00135578,23,25,7,6,0,0,0,0
S00135579,23,17,4,3,0,0,1,0
S00135580,45,17,6,4,4,3,0,0
S00135581,14,24,8,6,0,2,0,2
S00135582,31,15,5,2,0,0,0,0
S00135583,47,19,12,3,0,0,0,0
S00135584,33,16,11,7,0,0,0,0
S00135585,11,14,10,5,1,2,2,1
S00135586,19,20,4,6,1,2,1,2
S00135587,46,9,1,0,1,0,0,0
S00135588,20,24,1,3,0,2,0,0
S00135589,14,15,6,4,0,1,0,0
S00135590,6,15,8,4,0,0,0,1
S00135591,4,9,13,0,1,0,3,0
S00135592,8,12,8,12,3,0,0,0
S00135593,5,12,8,7,0,1,2,1
S00135594,10,19,8,7,0,0,0,0
S00135595,23,33,12,5,1,1,0,0
S00135596,32,33,9,5,0,0,1,0
S00135597,39,15,9,8,2,0,0,0
S00135598,8,22,6,4,1,0,0,0
S00135599,23,23,18,3,0,0,0,0
S00135600,36,9,2,0,0,0,0,0
S00135601,13,12,10,8,4,0,2,1
S00135602,32,17,12,3,3,0,0,0
S00135603,4,13,2,9,2,0,2,0
S00135604,47,11,2,2,0,1,0,0
S00135605,14,17,5,2,0,2,0,0
S00135606,6,12,11,20,7,4,0,2
S00135607,31,28,6,2,0,0,1,1
S00135608,5,19,4,9,0,1,1,0
S00135609,20,19,8,2,4,0,0,0
S00135610,66,14,1,3,1,0,0,0
S00135611,26,11,6,3,1,1,2,1
S00135612,34,22,11,6,3,0,0,0
S00135613,9,10,9,11,3,0,1,0
S00135614,13,13,8,7,2,1,1,0
S00135615,30,26,12,5,5,0,0,0
S00135616,24,11,7,1,1,0,1,1
S00135617,13,17,6,8,1,0,0,0
S00135618,6,21,3,1,1,0,0,2
S00135619,34,6,0,4,0,0,1,0
S00135620,14,17,11,7,4,0,0,1
S00135621,44,18,3,3,5,2,0,0
S00135622,40,12,1,3,1,2,0,0
S00135623,32,30,2,3,1,2,0,1
S00135624,17,10,6,5,3,0,0,1
S00135625,1,5,7,10,4,5,3,0
S00135626,22,4,2,4,2,0,2,0
S00135627,11,12,13,10,4,0,0,0
S00135628,36,24,14,6,0,1,0,1
S00135629,40,26,7,9,1,3,0,0
S00135630,13,18,6,8,3,0,0,0
S00135631,23,23,16,11,1,0,0,0
S00135632,37,20,9,10,2,0,0,0
S00135633,20,7,5,2,1,0,1,0
S00135634,42,11,1,1,0,0,1,1
S00135635,34,24,12,1,0,0,0,0
S00135636,16,12,15,4,0,0,0,2
S00135637,18,19,11,6,1,1,1,0
S00135638,21,18,2,1,1,0,0,2
S00135639,15,11,2,6,2,0,0,1
S00135640,33,26,7,4,0,0,1,1
S00135641,15,16,5,7,1,0,0,0
S00135642,23,22,16,12,6,0,0,0
S00135643,17,15,6,1,4,0,1,0
S00135644,15,20,5,0,0,0,1,0
S00135645,25,19,2,2,0,0,1,0
S00135646,29,11,4,2,0,0,0,1
S00135647,26,20,14,8,2,0,0,1
S00135648,29,11,10,6,0,2,0,0
S00135649,23,13,9,4,1,0,0,0
S00135650,19,18,8,6,1,0,0,0
S00135651,33,22,5,5,1,1,0,0
S00135652,20,25,5,0,0,0,1,0
S00135653,6,7,12,4,3,0,0,0
S00135654,25,5,8,2,0,0,3,0
S00135655,21,21,3,7,0,0,0,0
S00135656,35,12,10,3,1,0,0,0
S00135657,32,21,9,3,0,1,0,1
S00135658,15,11,10,2,1,1,0,0
S00135659,29,22,14,5,0,0,0,0
S00135660,36,14,7,5,0,0,1,0
S00135661,22,9,3,3,1,0,0,0
S00135662,15,21,9,7,1,1,1,0
S00135663,17,17,7,7,3,0,1,0
S00135664,28,18,12,16,0,1,0,0
S00135665,68,10,3,0,0,1,0,1
S00135666,31,8,4,4,2,1,0,0
S00135667,31,17,9,11,2,3,0,0
S00135668,24,16,12,3,3,3,0,1
S00135669,26,16,13,6,2,2,1,0
S00135670,31,34,12,2,3,0,0,0
S00135671,16,20,5,1,1,0,1,0
S00135672,38,13,3,6,0,0,0,0
S00135673,31,5,4,6,0,1,0,0
S00135674,15,22,7,4,0,0,0,0
S00135675,11,12,7,10,3,5,1,0
S00135676,43,13,0,0,0,2,0,0
S00135677,26,5,4,2,2,2,0,1
S00135678,29,19,5,1,1,0,0,1
S00135679,17,12,4,3,0,1,0,1
S00135680,15,21,7,6,3,0,0,0
S00135681,25,21,11,4,0,0,0,0
S00135682,14,14,4,7,0,1,0,1
S00135683,18,12,8,4,2,0,0,1
S00135684,42,11,1,0,0,0,0,0
S00135685,23,23,8,11,1,1,0,0
S00135686,77,12,0,0,0,0,0,1
S00135687,47,19,6,2,0,0,0,0
S00135688,24,22,4,3,2,1,0,1
S00135689,20,13,6,6,0,2,0,0
S00135690,28,22,14,2,0,1,1,0
S00135691,32,18,11,3,0,1,0,0
S00135692,16,15,6,2,0,0,0,0
S00135693,14,15,15,4,1,0,1,0
S00135694,17,12,12,3,0,0,0,0
S00135695,29,12,3,1,0,0,0,0
S00135696,14,18,4,0,0,0,0,0
S00135697,40,18,3,8,0,0,0,0
S00135698,42,20,11,3,1,0,1,0
S00135699,19,20,15,8,1,0,0,1
S00135700,11,10,7,3,0,1,0,0
S00135701,14,18,9,2,1,0,2,0
S00135702,52,21,2,1,1,0,0,0
S00135703,22,12,0,4,2,0,0,0
S00135704,43,8,0,0,0,1,0,0
S00135705,20,11,6,7,1,2,0,1
S00135706,12,27,12,4,2,0,2,0
S00135707,27,13,5,0,0,1,0,0
S00135708,24,21,11,5,3,0,0,0
S00135709,12,16,8,7,3,0,0,2
S00135710,13,15,5,3,0,0,0,0
S00135711,30,13,5,1,0,3,1,0
S00135712,21,14,11,3,1,2,1,1
S00135713,13,13,9,2,1,1,0,0
S00135714,41,22,9,0,1,0,1,0
S00135715,5,18,12,7,2,1,1,0
S00135716,41,19,1,8,1,1,0,0
S00135717,38,19,6,2,2,0,0,1
S00135718,8,17,1,5,0,0,0,2
S00135719,14,20,12,11,5,4,1,0
S00135720,14,26,16,18,3,1,1,0
S00135721,20,28,16,8,1,0,0,0
S00135722,14,10,9,3,0,1,0,0
S00135723,20,14,7,3,0,0,0,0
S00135724,11,11,10,5,1,0,0,0
S00135725,25,8,8,6,3,1,0,2
S00135726,16,15,21,10,4,0,0,0
S00135727,16,16,9,5,5,0,0,0
S00135728,40,17,6,2,0,0,0,0
S00135729,71,10,0,0,0,1,0,0
S00135730,7,17,4,6,5,1,2,1
S00135731,19,15,7,3,1,0,0,0
S00135732,31,24,5,1,0,0,0,0
S00135733,30,7,4,6,0,0,1,0
S00135734,37,18,4,5,0,0,0,1
S00135735,22,17,7,2,0,1,1,0
S00135736,41,14,1,1,0,0,0,0
S00135737,22,14,6,4,0,0,0,0
S00135738,12,31,11,6,8,1,2,2
S00135739,11,11,8,10,2,2,0,0
S00135740,12,11,10,5,2,0,0,1
S00135741,15,16,2,2,1,0,0,0
S00135742,19,20,2,6,1,0,1,2
S00135743,11,11,6,6,4,0,0,0
S00135744,3,16,12,3,2,0,1,1
S00135745,29,28,3,4,1,0,0,1
S00135746,24,9,3,0,1,0,1,0
S00135747,12,14,10,3,1,1,0,0
S00135748,31,21,4,5,1,2,0,1
S00135749,45,3,0,1,1,1,0,1
S00135750,29,24,4,0,0,1,1,0
S00135751,51,18,7,1,0,1,0,0
S00135752,10,8,10,3,4,0,0,0
S00135753,36,23,3,1,0,0,0,0
S00135754,4,20,15,5,0,1,0,1
S00135755,17,12,6,18,9,0,0,0
S00135756,35,11,6,1,0,2,0,0
S00135757,35,16,5,2,2,2,1,0
S00135758,57,7,5,3,2,3,0,1
S00135759,4,3,6,12,1,0,1,0
S00135760,6,9,8,2,0,2,0,0
S00135761,10,14,10,6,4,1,0,0
S00135762,31,29,5,3,0,0,0,0
S00135763,14,25,4,2,1,0,0,0
S00135764,6,15,13,4,3,1,0,0
S00135765,29,21,10,7,1,0,1,0
S00135766,16,16,6,2,4,0,0,1
S00135767,14,16,17,5,3,1,0,0
S00135768,10,12,15,13,15,2,0,0
S00135769,5,11,11,13,3,1,1,0
S00135770,44,23,3,3,0,0,0,0
S00135771,30,17,8,5,2,0,0,1
S00135772,16,35,13,7,5,0,0,0
S00135773,29,27,10,9,2,0,1,1
S00135774,9,7,10,2,2,0,1,1
S00135775,25,27,18,7,3,1,0,0
S00135776,24,14,3,6,0,0,1,0
S00135777,11,8,13,5,1,3,0,0
S00135778,15,10,6,5,0,0,0,0
S00135779,32,19,9,0,2,0,1,0
S00135780,6,11,11,7,1,1,1,1
S00135781,8,18,7,5,5,4,0,1
S00135782,34,14,5,4,0,0,0,1
S00135783,58,22,9,6,1,0,0,0
S00135784,10,5,11,7,1,1,0,1
S00135785,11,7,5,2,0,2,0,0
S00135786,6,18,11,10,4,5,0,0
S00135787,19,10,1,1,1,1,2,0
S00135788,13,19,9,4,1,1,0,0
S00135789,22,12,6,4,3,0,0,0
S00135790,21,17,7,4,1,3,0,0
S00135791,69,22,13,1,2,0,0,0
S00135792,12,6,5,8,2,3,0,1
S00135793,11,18,8,6,2,1,0,0
S00135794,11,23,6,13,4,1,0,0
S00135795,16,17,12,0,0,2,0,0
S00135796,29,17,5,4,0,0,1,0
S00135797,33,18,8,6,5,1,0,0
S00135798,35,6,4,3,0,1,0,1
S00135799,16,19,14,6,10,4,0,1
S00135800,33,11,5,2,4,0,1,1
S00135801,17,15,5,4,1,0,0,1
S00135802,22,8,10,0,0,0,1,1
S00135803,17,15,7,5,1,0,0,0
S00135804,13,26,9,2,1,0,0,0
S00135805,39,12,1,1,1,0,0,0
S00135806,13,12,14,7,1,0,1,1
S00135807,21,23,5,4,1,0,1,0
S00135808,42,11,4,6,3,1,0,0
S00135809,13,14,9,7,2,0,0,0
S00135810,1,14,7,13,3,0,2,1
S00135811,13,15,18,10,5,1,2,0
S00135812,29,15,7,7,1,1,0,1
S00135813,28,14,8,4,0,2,1,0
S00135814,15,14,2,4,0,0,1,2
S00135815,43,9,1,1,0,1,0,1
S00135816,30,17,9,3,0,0,1,0
S00135817,12,11,4,13,4,2,0,0
S00135818,26,19,6,6,0,0,0,1
S00135819,8,21,7,6,3,1,0,0
S00135820,18,21,11,12,8,1,0,0
S00135821,22,9,5,4,0,1,2,0
S00135822,14,10,11,5,9,2,2,0
S00135823,18,16,6,18,4,1,2,2
S00135824,16,20,13,19,3,0,0,0
S00135825,7,10,11,7,3,1,0,0
S00135826,8,10,7,6,3,2,0,0
S00135827,14,6,3,5,1,0,0,1
S00135828,28,24,11,2,2,1,1,0
S00135829,50,11,3,0,1,0,0,0
S00135830,28,7,5,0,1,0,0,0
S00135831,11,17,9,10,0,0,0,0
S00135832,52,23,17,5,0,0,0,1
S00135833,9,17,13,7,3,1,0,0
S00135834,19,17,5,5,3,1,1,0
S00135835,67,23,8,3,0,0,1,0
S00135836,5,21,11,6,0,0,0,0
S00135837,20,21,9,6,2,4,0,1
S00135838,27,25,3,3,0,1,0,2
S00135839,27,11,22,5,5,1,0,0
S00135840,16,25,19,8,0,1,1,0
S00135841,18,18,1,0,0,0,1,0
S00135842,30,8,5,3,1,1,1,1
S00135843,48,11,2,1,0,0,0,0
S00135844,28,6,2,4,1,0,0,1
S00135845,11,12,4,8,0,0,0,0
S00135846,38,20,7,3,0,1,0,0
S00135847,18,13,4,1,0,0,1,0
S00135848,20,24,7,5,0,0,2,0
S00135849,42,11,3,0,0,0,1,0
S00135850,7,7,8,8,0,0,3,0
S00135851,8,13,11,6,4,2,0,0
S00135852,23,6,4,2,2,0,0,1
S00135853,55,8,0,1,0,0,0,1
S00135854,12,15,4,5,0,0,0,0
S00135855,52,21,0,0,0,1,0,0
S00135856,25,12,4,0,0,0,0,1
S00135857,12,7,3,4,1,0,0,0
S00135858,2,15,5,1,1,0,1,1
S00135859,34,13,2,0,1,0,0,1
S00135860,5,5,20,7,6,0,2,0
S00135861,33,17,3,7,0,1,0,0
S00135862,9,15,11,2,1,1,0,0
S00135863,8,14,9,5,0,2,0,0
S00135864,16,13,4,4,4,1,0,0
S00135865,19,16,8,3,0,0,0,1
S00135866,2,7,11,0,4,2,1,3
S00135867,19,20,5,2,4,0,0,0
S00135868,31,22,7,6,0,1,0,0
S00135869,3,14,6,4,1,0,0,0
S00135870,37,19,0,0,0,0,0,0
S00135871,29,15,11,7,8,5,0,0
S00135872,48,16,0,4,1,1,0,0
S00135873,15,25,4,7,3,1,0,0
S00135874,31,18,5,4,2,1,0,2
S00135875,10,24,6,10,3,0,1,0
S00135876,9,11,13,4,1,4,1,0
S00135877,18,16,14,11,3,1,0,0
S00135878,26,21,13,6,3,0,1,1
S00135879,10,15,5,5,2,0,0,0
S00135880,35,13,11,3,2,0,1,1
S00135881,14,18,12,5,1,1,0,0
S00135882,11,11,9,6,2,2,0,1
S00135883,10,16,9,1,0,0,0,1
S00135884,11,16,2,4,1,0,1,0
S00135885,48,15,0,1,0,0,0,0
S00135886,25,20,3,2,0,1,0,1
S00135887,27,11,6,0,0,0,0,1
S00135888,16,7,7,6,5,1,0,0
S00135889,3,13,5,4,2,0,0,0
S00135890,13,15,10,4,0,0,0,0
S00135891,19,6,5,5,2,0,0,0
S00135892,17,13,13,6,2,0,0,0
S00135893,17,19,9,2,4,0,0,0
S00135894,16,26,8,3,1,1,1,0
S00135895,54,20,13,5,2,0,0,0
S00135896,76,19,5,4,1,1,0,0
S00135897,65,23,3,7,0,0,0,1
S00135898,6,20,9,8,2,0,2,0
S00135899,8,9,11,5,1,0,1,0
S00135900,38,22,7,2,0,1,1,0
S00135901,27,12,7,6,2,0,0,2
S00135902,15,11,6,7,1,0,1,1
S00135903,8,11,19,2,3,1,0,1
S00135904,13,17,3,2,1,0,0,1
S00135905,30,12,2,1,1,1,1,0
S00135906,14,14,1,4,0,0,0,0
S00135907,21,16,5,0,0,1,0,2
S00135908,9,20,9,4,2,2,1,0
S00135909,10,15,5,2,0,1,0,0
S00135910,32,11,3,2,1,0,0,0
S00135911,7,15,10,12,0,1,0,0
S00135912,26,28,7,0,2,1,0,0
S00135913,33,19,2,9,1,0,0,1
S00135914,14,20,8,5,2,2,0,1
S00135915,21,28,7,8,1,0,0,0
S00135916,26,15,7,4,2,0,0,0
S00135917,14,18,16,8,2,0,2,0
S00135918,12,9,13,10,2,1,0,0
S00135919,21,10,4,1,3,1,0,1
S00135920,25,18,9,8,0,0,0,0
S00135921,11,19,13,4,3,0,0,0
S00135922,6,19,8,12,0,1,0,0
S00135923,44,21,8,2,0,0,1,0
S00135924,12,25,8,2,0,0,0,0
S00135925,9,7,6,7,3,0,1,0
S00135926,39,9,7,3,1,1,1,0
S00135927,35,18,8,4,3,0,0,0
S00135928,16,10,4,2,3,2,0,1
S00135929,35,7,1,1,2,0,0,0
S00135930,5,19,15,9,3,0,0,0
S00135931,12,19,9,9,0,0,1,0
S00135932,5,4,4,4,5,5,0,1
S00135933,35,27,7,3,1,0,0,1
S00135934,50,18,7,1,2,0,0,0
S00135935,11,32,6,2,1,0,0,1
S00135936,29,17,3,4,7,0,0,0
S00135937,14,20,4,7,4,1,1,1
S00135938,13,13,10,10,1,2,0,0
S00135939,20,18,5,1,1,0,0,0
S00135940,26,7,8,3,0,1,0,0
S00135941,44,20,6,0,4,0,0,0
S00135942,22,31,3,9,2,0,1,0
S00135943,15,8,11,11,2,0,0,0
S00135944,13,25,9,14,7,0,1,1
S00135945,17,14,8,1,1,0,0,0
S00135946,12,22,11,17,2,0,1,1
S00135947,26,23,7,3,0,1,2,1
S00135948,26,30,5,4,0,1,2,0
S00135949,14,14,15,20,0,0,2,0
S00135950,7,13,4,6,1,1,0,1
S00135951,18,39,10,2,0,0,0,0
S00135952,12,10,1,4,6,0,0,1
S00135953,19,13,5,7,5,0,1,0
S00135954,7,13,15,10,6,0,0,0
S00135955,28,22,8,7,0,1,1,0
S00135956,15,25,7,5,2,1,0,0
S00135957,37,20,8,1,1,0,1,0
S00135958,17,11,4,5,2,0,0,0
S00135959,34,26,8,4,0,0,0,1
S00135960,21,16,19,3,6,1,0,0
S00135961,25,17,11,10,5,2,1,1
S00135962,26,15,8,2,0,2,0,0
S00135963,9,18,17,19,4,0,0,0
S00135964,24,13,8,6,2,1,0,0
S00135965,25,17,6,0,3,2,1,0
S00135966,12,18,5,2,1,0,0,1
