areacode,urban,rural
S00135633,36,0
S00135634,57,0
S00135635,71,0
S00135636,49,0
S00135637,57,0
S00135638,45,0
S00135639,37,0
S00135640,72,0
S00135641,44,0
S00135642,79,0
S00135643,44,0
S00135644,41,0
S00135645,49,0
S00135646,47,0
S00135647,71,0
S00135648,58,0
S00135649,50,0
S00135650,52,0
S00135651,67,0
S00135652,51,0
S00135653,32,0
S00135654,43,0
S00135655,52,0
S00135656,61,0
S00135657,67,0
S00135658,40,0
S00135659,70,0
S00135660,63,0
S00135661,38,0
S00135662,55,0
S00135663,52,0
S00135664,75,0
S00135665,83,0
S00135666,50,0
S00135667,73,0
S00135668,62,0
S00135669,66,0
S00135670,82,0
S00135671,44,0
S00135672,60,0
S00135673,47,0
S00135674,48,0
S00135675,49,0
S00135676,58,0
S00135677,42,0
S00135678,56,0
S00135679,38,0
S00135680,52,0
S00135681,61,0
S00135682,41,0
S00135683,45,0
S00135684,54,0
S00135685,67,0
S00135686,90,0
S00135687,74,0
S00135688,57,0
S00135689,47,0
S00135690,68,0
S00135691,65,0
S00135692,39,0
S00135693,50,0
S00135694,44,0
S00135695,45,0
S00135696,36,0
S00135697,69,0
S00135698,78,0
S00135699,64,0
S00135700,32,0
S00135701,46,0
S00135702,77,0
S00135703,40,0
S00135704,52,0
S00135705,48,0
S00135706,59,0
S00135707,46,0
S00135708,64,0
S00135709,48,0
S00135710,36,0
S00135711,53,0
S00135712,54,0
S00135713,39,0
S00135714,74,0
S00135715,46,0
S00135716,71,0
S00135717,68,0
S00135718,33,0
S00135719,67,0
S00135720,79,0
S00135721,73,0
S00135722,37,0
S00135723,44,0
S00135724,38,0
S00135725,53,0
S00135726,66,0
S00135727,51,0
S00135728,65,0
S00135729,82,0
S00135730,43,0
S00135731,45,0
S00135732,61,0
S00135733,48,0
S00135734,65,0
S00135735,50,0
S00135736,57,0
S00135737,46,0
S00135738,73,0
S00135739,44,0
S00135740,41,0
S00135741,36,0
S00135742,51,0
S00135743,38,0
S00135744,38,0
S00135745,66,0
S00135746,38,0
S00135747,41,0
S00135748,65,0
S00135749,52,0
S00135750,59,0
S00135751,78,0
S00135752,35,0
S00135753,63,0
S00135754,46,0
S00135755,62,0
S00135756,55,0
S00135757,63,0
S00135758,78,0
S00135759,27,0
S00135760,27,0
S00135761,45,0
S00135762,68,0
S00135763,46,0
S00135764,42,0
S00135765,69,0
S00135766,45,0
S00135767,56,0
S00135768,67,0
S00135769,45,0
S00135770,73,0
S00135771,63,0
S00135772,76,0
S00135773,79,0
S00135774,32,0
S00135775,81,0
S00135776,48,0
S00135777,41,0
S00135778,36,0
S00135779,63,0
S00135780,39,0
S00135781,48,0
S00135782,58,0
S00135783,96,0
S00135784,36,0
S00135785,27,0
S00135786,54,0
S00135787,35,0
S00135788,47,0
S00135789,47,0
S00135790,53,0
S00135791,107,0
S00135792,37,0
S00135793,46,0
S00135794,58,0
S00135795,47,0
S00135796,56,0
S00135797,71,0
S00135798,50,0
S00135799,70,0
S00135800,57,0
S00135801,43,0
S00135802,42,0
S00135803,45,0
S00135804,51,0
S00135805,54,0
S00135806,49,0
S00135807,55,0
S00135808,67,0
S00135809,45,0
S00135810,41,0
S00135811,64,0
S00135812,61,0
S00135813,57,0
S00135814,38,0
S00135815,56,0
S00135816,60,0
S00135817,46,0
S00135818,58,0
S00135819,46,0
S00135820,71,0
S00135821,43,0
S00135822,53,0
S00135823,67,0
S00135824,71,0
S00135825,39,0
S00135826,36,0
S00135827,30,0
S00135828,69,0
S00135829,65,0
S00135830,41,0
S00135831,47,0
S00135832,98,0
S00135833,50,0
S00135834,51,0
S00135835,102,0
S00135836,43,0
S00135837,63,0
S00135838,61,0
S00135839,71,0
S00135840,70,0
S00135841,38,0
S00135842,50,0
S00135843,62,0
S00135844,42,0
S00135845,35,0
S00135846,69,0
S00135847,37,0
S00135848,58,0
S00135849,57,0
S00135850,33,0
S00135851,44,0
S00135852,38,0
S00135853,65,0
S00135854,36,0
S00135855,74,0
S00135856,42,0
S00135857,27,0
S00135858,26,0
S00135859,51,0
S00135860,45,0
S00135861,61,0
S00135862,39,0
S00135863,38,0
S00135864,42,0
S00135865,47,0
S00135866,30,0
S00135867,50,0
S00135868,67,0
S00135869,28,0
S00135870,56,0
S00135871,75,0
S00135872,70,0
S00135873,55,0
S00135874,63,0
S00135875,54,0
S00135876,43,0
S00135877,63,0
S00135878,71,0
S00135879,37,0
S00135880,66,0
S00135881,51,0
S00135882,42,0
S00135883,37,0
S00135884,35,0
S00135885,64,0
S00135886,52,0
S00135887,45,0
S00135888,42,0
S00135889,27,0
S00135890,42,0
S00135891,37,0
S00135892,51,0
S00135893,51,0
S00135894,56,0
S00135895,94,0
S00135896,106,0
S00135897,99,0
S00135898,47,0
S00135899,35,0
S00135900,71,0
S00135901,56,0
S00135902,42,0
S00135903,45,0
S00135904,37,0
S00135905,48,0
S00135906,33,0
S00135907,45,0
S00135908,47,0
S00135909,33,0
S00135910,49,0
S00135911,45,0
S00135912,64,0
S00135913,65,0
S00135914,52,0
S00135915,65,0
S00135916,54,0
S00135917,60,0
S00135918,47,0
S00135919,41,0
S00135920,60,0
S00135921,50,0
S00135922,46,0
S00135923,76,0
S00135924,47,0
S00135925,33,0
S00135926,61,0
S00135927,68,0
S00135928,38,0
S00135929,46,0
S00135930,51,0
S00135931,50,0
S00135932,28,0
S00135933,74,0
S00135934,78,0
S00135935,53,0
S00135936,60,0
S00135937,52,0
S00135938,49,0
S00135939,45,0
S00135940,45,0
S00135941,74,0
S00135942,68,0
S00135943,47,0
S00135944,70,0
S00135945,41,0
S00135946,66,0
S00135947,63,0
S00135948,68,0
S00135949,65,0
S00135950,33,0
S00135951,69,0
S00135952,34,0
S00135953,50,0
S00135954,51,0
S00135955,67,0
S00135956,55,0
S00135957,68,0
S00135958,39,0
S00135959,73,0
S00135960,66,0
S00135961,72,0
S00135962,53,0
S00135963,67,0
S00135964,54,0
S00135965,54,0
S00135966,39,0
S00135967,42,0
S00135968,73,0
S00135969,52,0
S00135970,49,0
S00135971,74,0
S00135972,69,0
S00135973,55,0
S00135974,51,0
S00135975,55,0
S00135976,76,0
S00135977,35,0
S00135978,43,0
S00135979,46,0
S00135980,40,0
S00135981,55,0
S00135982,54,0
S00135983,54,0
S00135984,65,0
S00135985,68,0
S00135986,66,0
S00135987,44,0
S00135988,30,0
S00135989,63,0
S00135990,0,28
S00135991,43,0
S00135992,49,0
S00135993,51,0
S00135994,66,0
S00135995,27,0
S00135996,62,0
S00135997,77,0
S00135998,48,0
S00135999,69,0
S00136000,79,0
S00136001,59,0
S00136002,59,0
S00136003,53,0
S00136004,35,0
S00136005,61,0
S00136006,43,0
S00136007,65,0
S00136008,38,0
S00136009,75,0
S00136010,60,0
S00136011,79,0
S00136012,72,0
S00136013,57,0
S00136014,56,0
S00136015,78,0
S00136016,61,0
S00136017,79,0
S00136018,81,0
S00136019,62,0
S00136020,65,0
S00136021,35,0
S00136022,56,0
S00136023,41,0
S00136024,40,0
S00136025,49,0
S00136026,62,0
S00136027,35,0
S00136028,50,0
S00136029,35,0
S00136030,43,0
S00136031,63,0
S00136032,67,0
S00136033,70,0
S00136034,65,0
S00136035,88,0
S00136036,61,0
S00136037,44,0
S00136038,41,0
S00136039,50,0
S00136040,39,0
S00136041,63,0
S00136042,46,0
S00136043,38,0
S00136044,41,0
S00136045,62,0
S00136046,40,0
S00136047,62,0
S00136048,52,0
S00136049,67,0
S00136050,57,0
S00136051,47,0
S00136052,34,0
S00136053,38,0
S00136054,81,0
S00136055,81,0
S00136056,63,0
S00136057,57,0
S00136058,76,0
S00136059,46,0
S00136060,48,0
S00136061,79,0
S00136062,35,0
S00136063,63,0
S00136064,68,0
S00136065,66,0
S00136066,42,0
S00136067,31,0
S00136068,72,0
S00136069,71,0
S00136070,42,0
S00136071,76,0
S00136072,52,0
S00136073,47,0
S00136074,50,0
S00136075,61,0
S00136076,80,0
S00136077,43,0
S00136078,70,0
S00136079,41,0
S00136080,73,0
S00136081,40,0
S00136082,48,0
S00136083,60,0
S00136084,48,0
S00136085,44,0
S00136086,51,0
S00136087,61,0
S00136088,61,0
S00136089,72,0
S00136090,50,0
S00136091,60,0
S00136092,73,0
S00136093,65,0
S00136094,35,0
S00136095,29,0
S00136096,64,0
S00136097,85,0
S00136098,48,0
S00136099,81,0
S00136100,67,0
S00136101,65,0
S00136102,53,0
S00136103,68,0
S00136104,72,0
S00136105,61,0
S00136106,41,0
S00136107,63,0
S00136108,63,0
S00136109,48,0
S00136110,45,0
S00136111,72,0
S00136112,57,0
S00136113,49,0
S00136114,82,0
S00136115,82,0
S00136116,38,0
S00136117,76,0
S00136118,40,0
S00136119,47,0
S00136120,45,0
S00136121,68,0
S00136122,90,0
S00136123,73,0
S00136124,37,0
S00136125,45,0
S00136126,72,0
S00136127,70,0
S00136128,54,0
S00136129,64,0
S00136130,41,0
S00136131,58,0
S00136132,61,0
S00136133,55,0
S00136134,42,0
S00136135,47,0
S00136136,46,0
S00136137,63,0
S00136138,73,0
S00136139,66,0
S00136140,56,0
S00136141,50,0
S00136142,67,0
S00136143,43,0
S00136144,85,0
S00136145,57,0
S00136146,76,0
S00136147,33,0
S00136148,43,0
S00136149,46,0
S00136150,57,0
S00136151,37,0
S00136152,48,0
S00136153,46,0
S00136154,66,0
S00136155,62,0
S00136156,49,0
S00136157,34,0
S00136158,78,0
S00136159,38,0
S00136160,53,0
S00136161,48,0
S00136162,82,0
S00136163,48,0
S00136164,47,0
S00136165,35,0
S00136166,43,0
S00136167,66,0
S00136168,59,0
S00136169,33,0
S00136170,54,0
S00136171,42,0
S00136172,64,0
S00136173,42,0
S00136174,85,0
S00136175,37,0
S00136176,55,0
S00136177,46,0
S00136178,73,0
S00136179,76,0
S00136180,82,0
S00136181,46,0
S00136182,53,0
S00136183,50,0
S00136184,52,0
S00136185,52,0
S00136186,77,0
S00136187,44,0
S00136188,38,0
S00136189,53,0
S00136190,62,0
S00136191,43,0
S00136192,72,0
S00136193,69,0
S00136194,97,0
S00136195,48,0
S00136196,54,0
S00136197,70,0
S00136198,77,0
S00136199,43,0
S00136200,39,0
S00136201,56,0
S00136202,36,0
S00136203,44,0
S00136204,81,0
S00136205,59,0
S00136206,68,0
S00136207,46,0
S00136208,38,0
S00136209,46,0
S00136210,78,0
S00136211,60,0
S00136212,43,0
S00136213,41,0
S00136214,51,0
S00136215,44,0
S00136216,67,0
S00136217,65,0
S00136218,43,0
S00136219,38,0
S00136220,70,0
S00136221,37,0
S00136222,50,0
S00136223,80,0
S00136224,50,0
S00136225,55,0
S00136226,45,0
S00136227,42,0
S00136228,75,0
S00136229,62,0
S00136230,62,0
S00136231,83,0
S00136232,73,0
S00136233,44,0
S00136234,60,0
S00136235,29,0
S00136236,78,0
S00136237,83,0
S00136238,70,0
S00136239,43,0
S00136240,41,0
S00136241,37,0
S00136242,49,0
S00136243,47,0
S00136244,69,0
S00136245,65,0
S00136246,49,0
S00136247,58,0
S00136248,65,0
S00136249,45,0
S00136250,43,0
S00136251,63,0
S00136252,62,0
S00136253,37,0
S00136254,64,0
S00136255,71,0
S00136256,57,0
S00136257,67,0
S00136258,49,0
S00136259,78,0
S00136260,64,0
S00136261,56,0
S00136262,65,0
S00136263,58,0
S00136264,60,0
S00136265,55,0
S00136266,49,0
S00136267,60,0
S00136268,70,0
S00136269,62,0
S00136270,39,0
S00136271,53,0
S00136272,63,0
S00136273,37,0
S00136274,59,0
S00136275,73,0
S00136276,79,0
S00136277,42,0
S00136278,51,0
S00136279,43,0
S00136280,56,0
S00136281,82,0
S00136282,42,0
S00136283,38,0
S00136284,78,0
S00136285,76,0
S00136286,45,0
S00136287,42,0
S00136288,76,0
S00136289,82,0
S00136290,76,0
S00136291,72,0
S00136292,66,0
S00136293,41,0
S00136294,41,0
S00136295,58,0
S00136296,61,0
S00136297,70,0
S00136298,81,0
S00136299,61,0
S00136300,48,0
S00136301,78,0
S00136302,72,0
S00136303,68,0
S00136304,60,0
S00136305,72,0
S00136306,49,0
S00136307,58,0
S00136308,73,0
S00136309,70,0
S00136310,73,0
S00136311,43,0
S00136312,54,0
S00136313,52,0
S00136314,69,0
S00136315,71,0
S00136316,42,0
S00136317,49,0
S00136318,47,0
S00136319,59,0
S00136320,43,0
S00136321,54,0
S00136322,38,0
S00136323,50,0
S00136324,47,0
S00136325,61,0
S00136326,64,0
S00136327,36,0
S00136328,45,0
S00136329,67,0
S00136330,77,0
S00136331,47,0
S00136332,52,0
S00136333,43,0
S00136334,79,0
S00136335,33,0
S00136336,54,0
S00136337,56,0
S00136338,69,0
S00136339,76,0
S00136340,43,0
S00136341,41,0
S00136342,48,0
S00136343,64,0
S00136344,42,0
S00136345,75,0
S00136346,50,0
S00136347,31,0
S00136348,63,0
S00136349,71,0
S00136350,51,0
S00136351,49,0
S00136352,63,0
S00136353,81,0
S00136354,54,0
S00136355,67,0
S00136356,40,0
S00136357,47,0
S00136358,65,0
S00136359,56,0
S00136360,39,0
S00136361,45,0
S00136362,70,0
S00136363,44,0
S00136364,64,0
S00136365,71,0
S00136366,61,0
S00136367,60,0
S00136368,38,0
S00136369,83,0
S00136370,48,0
S00136371,48,0
S00136372,58,0
S00136373,79,0
S00136374,76,0
S00136375,67,0
S00136376,55,0
S00136377,43,0
S00136378,51,0
S00136379,53,0
S00136380,59,0
S00136381,51,0
S00136382,41,0
S00136383,41,0
S00136384,39,0
S00136385,74,0
S00136386,50,0
S00136387,81,0
S00136388,66,0
S00136389,64,0
S00136390,77,0
S00136391,45,0
S00136392,58,0
S00136393,50,0
S00136394,47,0
S00136395,77,0
S00136396,50,0
S00136397,55,0
S00136398,59,0
S00136399,59,0
S00136400,0,35
S00136401,66,0
S00136402,40,0
S00136403,52,0
S00136404,34,0
S00136405,51,0
S00136406,59,0
S00136407,78,0
S00136408,86,0
S00136409,70,0
S00136410,55,0
S00136411,57,0
S00136412,44,0
S00136413,53,0
S00136414,51,0
S00136415,56,0
S00136416,62,0
S00136417,47,0
S00136418,46,0
S00136419,56,0
S00136420,49,0
S00136421,48,0
S00136422,76,0
S00136423,43,0
S00136424,57,0
S00136425,78,0
S00136426,66,0
S00136427,48,0
S00136428,53,0
S00136429,72,0
S00136430,68,0
S00136431,73,0
S00136432,81,0
S00136433,49,0
S00136434,55,0
S00136435,55,0
S00136436,64,0
S00136437,82,0
S00136438,69,0
S00136439,96,0
S00136440,49,0
S00136441,43,0
S00136442,71,0
S00136443,55,0
S00136444,63,0
S00136445,75,0
S00136446,48,0
S00136447,68,0
S00136448,54,0
S00136449,63,0
S00136450,42,0
S00136451,50,0
S00136452,39,0
S00136453,57,0
S00136454,49,0
S00136455,53,0
S00136456,49,0
S00136457,69,0
S00136458,66,0
S00136459,47,0
S00136460,52,0
S00136461,73,0
S00136462,40,0
S00136463,60,0
S00136464,52,0
S00136465,40,0
S00136466,49,0
S00136467,80,0
S00136468,70,0
S00136469,68,0
S00136470,61,0
S00136471,49,0
S00136472,61,0
S00136473,41,0
S00136474,62,0
S00136475,47,0
S00136476,36,0
S00136477,49,0
S00136478,64,0
S00136479,61,0
S00136480,79,0
S00136481,55,0
S00136482,63,0
S00136483,41,0
S00136484,68,0
S00136485,63,0
S00136486,58,0
S00136487,48,0
S00136488,51,0
S00136489,57,0
S00136490,42,0
S00136491,44,0
S00136492,53,0
S00136493,82,0
S00136494,78,0
S00136495,43,0
S00136496,43,0
S00136497,48,0
S00136498,63,0
S00136499,54,0
S00136500,67,0
S00136501,46,0
S00136502,69,0
S00136503,53,0
S00136504,37,0
S00136505,67,0
S00136506,76,0
S00136507,47,0
S00136508,80,0
S00136509,67,0
S00136510,77,0
S00136511,32,0
S00136512,51,0
S00136513,57,0
S00136514,57,0
S00136515,58,0
S00136516,68,0
S00136517,40,0
S00136518,106,0
S00136519,78,0
S00136520,0,74
S00136521,67,0
S00136522,59,0
S00136523,44,0
S00136524,58,0
S00136525,69,0
S00136526,44,0
S00136527,73,0
S00136528,42,0
S00136529,35,0
S00136530,50,0
S00136531,43,0
S00136532,80,0
S00136533,47,0
S00136534,90,0
S00136535,44,0
S00136536,48,0
S00136537,47,0
S00136538,65,0
S00136539,52,0
S00136540,44,0
S00136541,41,0
S00136542,39,0
S00136543,54,0
S00136544,33,0
S00136545,46,0
S00136546,55,0
S00136547,50,0
S00136548,41,0
S00136549,73,0
S00136550,75,0
S00136551,62,0
S00136552,51,0
S00136553,68,0
S00136554,68,0
S00136555,57,0
S00136556,38,0
S00136557,37,0
S00136558,62,0
S00136559,43,0
S00136560,56,0
S00136561,47,0
S00136562,41,0
S00136563,40,0
S00136564,80,0
S00136565,57,0
S00136566,37,0
S00136567,45,0
S00136568,43,0
S00136569,67,0
S00136570,51,0
S00136571,39,0
S00136572,42,0
S00136573,55,0
S00136574,44,0
S00136575,54,0
S00136576,68,0
S00136577,41,0
S00136578,48,0
S00136579,58,0
S00136580,69,0
S00136581,44,0
S00136582,69,0
S00136583,41,0
S00136584,45,0
S00136585,50,0
S00136586,35,0
S00136587,45,0
S00136588,50,0
S00136589,51,0
S00136590,74,0
S00136591,49,0
S00136592,77,0
S00136593,64,0
S00136594,48,0
S00136595,65,0
S00136596,43,0
S00136597,55,0
S00136598,49,0
S00136599,64,0
S00136600,73,0
S00136601,60,0
S00136602,66,0
S00136603,81,0
S00136604,30,0
S00136605,89,0
S00136606,78,0
S00136607,57,0
S00136608,62,0
S00136609,59,0
S00136610,33,0
S00136611,48,0
S00136612,47,0
S00136613,45,0
S00136614,43,0
S00136615,37,0
S00136616,75,0
S00136617,54,0
S00136618,56,0
S00136619,35,0
S00136620,67,0
S00136621,81,0
S00136622,71,0
S00136623,49,0
S00136624,46,0
S00136625,41,0
S00136626,52,0
S00136627,65,0
S00136628,46,0
S00136629,45,0
S00136630,83,0
S00136631,55,0
S00136632,49,0
S00136633,47,0
S00136634,45,0
S00136635,58,0
S00136636,75,0
S00136637,67,0
S00136638,68,0
S00136639,62,0
S00136640,60,0
S00136641,73,0
S00136642,74,0
S00136643,55,0
S00136644,57,0
S00136645,58,0
S00136646,71,0
S00136647,83,0
S00136648,66,0
S00136649,50,0
S00136650,85,0
S00136651,65,0
S00136652,48,0
S00136653,39,0
S00136654,69,0
S00136655,80,0
S00136656,37,0
S00136657,80,0
S00136658,41,0
S00136659,72,0
S00136660,47,0
S00136661,54,0
S00136662,47,0
S00136663,0,68
S00136664,46,0
S00136665,68,0
S00136666,47,0
S00136667,52,0
S00136668,62,0
S00136669,58,0
S00136670,65,0
S00136671,32,0
S00136672,47,0
S00136673,71,0
S00136674,47,0
S00136675,64,0
S00136676,0,36
S00136677,75,0
S00136678,57,0
S00136679,69,0
S00136680,80,0
S00136681,75,0
S00136682,75,0
S00136683,49,0
S00136684,38,0
S00136685,76,0
S00136686,59,0
S00136687,62,0
S00136688,0,64
S00136689,67,0
S00136690,47,0
S00136691,57,0
S00136692,73,0
S00136693,65,0
S00136694,58,0
S00136695,52,0
S00136696,67,0
S00136697,63,0
S00136698,59,0
S00136699,43,0
S00136700,62,0
S00136701,45,0
S00136702,47,0
S00136703,70,0
S00136704,42,0
S00136705,34,0
S00136706,46,0
S00136707,53,0
S00136708,45,0
S00136709,76,0
S00136710,54,0
S00136711,68,0
S00136712,65,0
S00136713,68,0
S00136714,46,0
S00136715,71,0
S00136716,0,76
S00136717,55,0
S00136718,50,0
S00136719,0,61
S00136720,80,0
S00136721,85,0
S00136722,64,0
S00136723,50,0
S00136724,71,0
S00136725,42,0
S00136726,64,0
S00136727,39,0
S00136728,61,0
S00136729,67,0
S00136730,48,0
S00136731,52,0
S00136732,33,0
S00136733,57,0
S00136734,81,0
S00136735,61,0
S00136736,45,0
S00136737,80,0
S00136738,48,0
S00136739,45,0
S00136740,75,0
S00136741,53,0
S00136742,62,0
S00136743,27,0
S00136744,75,0
S00136745,67,0
S00136746,79,0
S00136747,39,0
S00136748,42,0
S00136749,55,0
S00136750,67,0
S00136751,41,0
S00136752,80,0
S00136753,61,0
S00136754,48,0
S00136755,55,0
S00136756,64,0
S00136757,60,0
S00136758,41,0
S00136759,42,0
S00136760,48,0
S00136761,56,0
S00136762,82,0
S00136763,46,0
S00136764,58,0
S00136765,63,0
S00136766,76,0
S00136767,46,0
S00136768,0,69
S00136769,64,0
S00136770,63,0
S00136771,46,0
S00136772,73,0
S00136773,66,0
S00136774,0,34
S00136775,52,0
S00136776,60,0
S00136777,42,0
S00136778,48,0
S00136779,69,0
S00136780,80,0
S00136781,63,0
S00136782,62,0
S00136783,54,0
S00136784,53,0
S00136785,66,0
S00136786,0,65
S00136787,0,49
S00136788,55,0
S00136789,0,76
S00136790,80,0
S00136791,0,48
S00136792,31,0
S00136793,37,0
S00136794,60,0
S00136795,51,0
S00136796,70,0
S00136797,70,0
S00136798,59,0
S00136799,43,0
S00136800,52,0
S00136801,42,0
S00136802,38,0
S00136803,54,0
S00136804,81,0
S00136805,74,0
S00136806,29,0
S00136807,34,0
S00136808,58,0
S00136809,81,0
S00136810,84,0
S00136811,72,0
S00136812,52,0
S00136813,55,0
S00136814,59,0
S00136815,52,0
S00136816,31,0
S00136817,82,0
S00136818,65,0
S00136819,47,0
S00136820,45,0
S00136821,65,0
S00136822,50,0
S00136823,54,0
S00136824,48,0
S00136825,46,0
S00136826,52,0
S00136827,61,0
S00136828,73,0
S00136829,76,0
S00136830,67,0
S00136831,49,0
S00136832,78,0
S00136833,41,0
S00136834,56,0
S00136835,60,0
S00136836,53,0
S00136837,56,0
S00136838,42,0
S00136839,42,0
S00136840,43,0
S00136841,75,0
S00136842,63,0
S00136843,56,0
S00136844,71,0
S00136845,55,0
S00136846,47,0
S00136847,45,0
S00136848,68,0
S00136849,75,0
S00136850,31,0
S00136851,48,0
S00136852,35,0
S00136853,47,0
S00136854,66,0
S00136855,31,0
S00136856,47,0
S00136857,38,0
S00136858,68,0
S00136859,38,0
