id,Age%16-24,Age%25-34,Age%35-44,Age%45-54,Age%55-64,Age%65-74,Sex%m,Sex%f
280,0,0,0,1,0,0,0,1
281,0,0,1,0,0,0,0,1
282,0,1,0,0,0,0,0,1
283,0,1,0,0,0,0,0,1
284,0,0,0,1,0,0,1,0
285,0,1,0,0,0,0,0,1
286,0,1,0,0,0,0,0,1
287,1,0,0,0,0,0,0,1
288,1,0,0,0,0,0,1,0
289,0,1,0,0,0,0,1,0
290,0,0,0,1,0,0,0,1
291,1,0,0,0,0,0,1,0
292,1,0,0,0,0,0,0,1
293,0,1,0,0,0,0,0,1
294,0,0,1,0,0,0,0,1
295,1,0,0,0,0,0,1,0
296,0,0,0,1,0,0,1,0
297,0,0,0,1,0,0,0,1
298,0,1,0,0,0,0,0,1
299,0,1,0,0,0,0,1,0
300,0,1,0,0,0,0,0,1
301,0,0,1,0,0,0,1,0
302,0,0,1,0,0,0,0,1
303,0,0,0,1,0,0,1,0
304,0,0,0,0,0,1,0,1
305,0,0,1,0,0,0,1,0
306,0,0,1,0,0,0,0,1
307,0,0,0,0,1,0,0,1
308,0,1,0,0,0,0,0,1
309,0,0,0,0,0,1,0,1
310,0,1,0,0,0,0,1,0
311,0,0,0,0,1,0,0,1
312,0,0,0,1,0,0,0,1
313,0,0,0,0,1,0,1,0
314,0,1,0,0,0,0,0,1
315,0,0,0,0,1,0,1,0
316,0,0,1,0,0,0,0,1
317,0,0,0,0,0,1,0,1
318,0,0,1,0,0,0,0,1
319,0,0,0,0,1,0,0,1
320,0,0,0,1,0,0,1,0
321,0,0,0,0,0,1,0,1
322,0,0,0,1,0,0,1,0
323,0,0,0,0,1,0,1,0
324,0,0,0,0,0,1,1,0
325,0,0,0,0,1,0,1,0
326,0,1,0,0,0,0,0,1
327,0,1,0,0,0,0,0,1
328,0,0,0,0,1,0,0,1
329,0,0,0,0,0,1,0,1
330,0,0,1,0,0,0,0,1
331,0,0,0,0,0,1,1,0
332,0,0,0,0,1,0,0,1
333,0,0,1,0,0,0,0,1
334,0,0,1,0,0,0,0,1
335,0,0,0,0,0,1,0,1
336,0,0,0,1,0,0,0,1
337,0,0,1,0,0,0,0,1
338,0,1,0,0,0,0,0,1
339,0,1,0,0,0,0,1,0
340,1,0,0,0,0,0,1,0
341,0,0,1,0,0,0,1,0
342,0,1,0,0,0,0,0,1
343,0,1,0,0,0,0,1,0
344,0,0,0,0,1,0,0,1
345,0,0,0,0,1,0,0,1
346,0,1,0,0,0,0,0,1
347,0,0,1,0,0,0,0,1
348,0,1,0,0,0,0,1,0
349,0,0,0,1,0,0,0,1
350,0,0,0,0,1,0,1,0
351,0,0,1,0,0,0,0,1
352,1,0,0,0,0,0,0,1
353,0,0,0,0,0,1,1,0
354,0,0,0,0,1,0,0,1
355,0,0,0,1,0,0,1,0
356,0,0,1,0,0,0,0,1
357,0,0,0,0,1,0,1,0
358,0,0,0,0,1,0,1,0
359,0,1,0,0,0,0,1,0
360,1,0,0,0,0,0,0,1
361,0,0,1,0,0,0,0,1
362,0,0,1,0,0,0,0,1
363,0,1,0,0,0,0,0,1
364,0,0,0,1,0,0,0,1
365,0,0,1,0,0,0,1,0
366,0,1,0,0,0,0,1,0
367,0,0,0,0,1,0,0,1
368,0,0,0,0,1,0,1,0
369,0,0,0,0,1,0,0,1
370,0,0,0,0,1,0,0,1
371,0,1,0,0,0,0,1,0
372,0,0,0,0,1,0,0,1
373,0,0,1,0,0,0,0,1
374,0,0,1,0,0,0,0,1
375,0,1,0,0,0,0,0,1
376,0,0,0,1,0,0,0,1
377,0,0,1,0,0,0,0,1
378,0,1,0,0,0,0,0,1
379,1,0,0,0,0,0,1,0
380,0,0,1,0,0,0,1,0
381,0,0,0,1,0,0,0,1
382,0,1,0,0,0,0,0,1
383,0,0,0,0,0,1,1,0
384,0,1,0,0,0,0,1,0
385,0,0,0,1,0,0,0,1
386,0,0,0,0,1,0,1,0
387,0,0,0,1,0,0,0,1
388,0,0,0,0,1,0,0,1
389,0,0,0,0,1,0,0,1
390,0,1,0,0,0,0,1,0
391,0,0,0,1,0,0,1,0
392,0,0,1,0,0,0,0,1
393,0,1,0,0,0,0,0,1
394,0,0,1,0,0,0,0,1
395,1,0,0,0,0,0,0,1
396,0,0,0,0,1,0,1,0
397,0,1,0,0,0,0,0,1
398,0,1,0,0,0,0,0,1
399,1,0,0,0,0,0,1,0
400,0,0,0,0,0,1,1,0
401,1,0,0,0,0,0,0,1
402,0,0,0,0,0,1,0,1
403,0,0,0,0,1,0,0,1
404,0,0,1,0,0,0,0,1
405,0,0,1,0,0,0,0,1
406,0,1,0,0,0,0,0,1
407,0,1,0,0,0,0,0,1
408,0,1,0,0,0,0,0,1
409,0,0,1,0,0,0,0,1
410,0,0,0,1,0,0,0,1
411,0,1,0,0,0,0,0,1
412,1,0,0,0,0,0,0,1
413,0,0,0,0,1,0,0,1
414,0,0,1,0,0,0,0,1
415,0,0,1,0,0,0,1,0
416,1,0,0,0,0,0,1,0
417,1,0,0,0,0,0,0,1
418,0,0,1,0,0,0,0,1
419,0,1,0,0,0,0,0,1
420,0,0,0,1,0,0,1,0
421,0,0,1,0,0,0,1,0
422,0,0,1,0,0,0,0,1
423,0,0,1,0,0,0,1,0
424,0,0,1,0,0,0,0,1
425,0,0,0,1,0,0,0,1
426,0,0,0,0,0,1,1,0
427,1,0,0,0,0,0,1,0
428,0,0,0,1,0,0,1,0
429,0,0,0,0,0,1,1,0
430,1,0,0,0,0,0,0,1
431,0,1,0,0,0,0,0,1
432,0,1,0,0,0,0,0,1
433,0,1,0,0,0,0,0,1
434,0,0,1,0,0,0,1,0
435,0,1,0,0,0,0,0,1
436,0,0,0,1,0,0,1,0
437,0,1,0,0,0,0,0,1
438,0,0,0,1,0,0,1,0
439,0,0,0,1,0,0,1,0
440,0,1,0,0,0,0,0,1
441,0,0,0,1,0,0,1,0
442,0,0,0,0,1,0,1,0
443,0,0,0,0,0,1,0,1
444,0,0,0,0,0,1,1,0
445,0,0,0,0,0,1,1,0
446,1,0,0,0,0,0,0,1
447,0,0,0,0,0,1,0,1
448,1,0,0,0,0,0,0,1
449,0,1,0,0,0,0,1,0
450,0,0,0,0,0,1,0,1
451,0,0,0,0,1,0,0,1
452,0,0,0,1,0,0,0,1
453,0,0,1,0,0,0,1,0
454,0,1,0,0,0,0,1,0
455,0,1,0,0,0,0,0,1
456,0,0,1,0,0,0,0,1
457,0,1,0,0,0,0,0,1
458,0,0,0,0,1,0,0,1
459,0,1,0,0,0,0,0,1
460,0,0,0,1,0,0,1,0
461,0,0,1,0,0,0,1,0
462,0,0,0,1,0,0,1,0
463,1,0,0,0,0,0,0,1
464,0,0,0,1,0,0,0,1
465,0,0,0,1,0,0,0,1
466,0,0,0,1,0,0,0,1
467,0,0,1,0,0,0,0,1
468,0,0,0,1,0,0,0,1
469,0,0,0,0,1,0,0,1
470,0,0,0,1,0,0,0,1
471,0,1,0,0,0,0,1,0
472,0,0,0,0,1,0,1,0
473,1,0,0,0,0,0,0,1
474,0,0,0,1,0,0,0,1
475,1,0,0,0,0,0,0,1
476,0,0,0,0,1,0,1,0
477,0,0,0,1,0,0,0,1
478,0,0,0,1,0,0,1,0
479,0,1,0,0,0,0,1,0
480,0,0,1,0,0,0,1,0
481,0,0,1,0,0,0,0,1
482,0,1,0,0,0,0,0,1
483,0,1,0,0,0,0,1,0
484,0,1,0,0,0,0,1,0
485,0,1,0,0,0,0,1,0
486,0,0,0,1,0,0,1,0
487,0,0,0,1,0,0,0,1
488,0,0,1,0,0,0,1,0
489,0,0,0,1,0,0,0,1
490,0,0,0,1,0,0,0,1
491,0,0,0,0,1,0,0,1
492,0,0,0,0,1,0,1,0
493,0,0,0,1,0,0,0,1
494,0,0,1,0,0,0,1,0
495,0,0,0,1,0,0,0,1
496,0,0,0,0,0,1,0,1
497,0,0,0,1,0,0,1,0
498,0,0,0,0,1,0,0,1
499,0,0,1,0,0,0,1,0
500,0,0,0,1,0,0,1,0
501,0,0,1,0,0,0,0,1
502,0,0,0,1,0,0,1,0
503,0,0,1,0,0,0,0,1
504,0,0,0,0,0,1,0,1
505,0,0,0,1,0,0,1,0
506,0,0,0,1,0,0,0,1
507,0,0,1,0,0,0,1,0
508,0,0,0,0,1,0,1,0
509,0,1,0,0,0,0,1,0
510,0,0,0,0,1,0,0,1
511,0,0,0,0,1,0,0,1
512,0,0,1,0,0,0,1,0
513,0,0,1,0,0,0,0,1
514,0,0,0,0,1,0,1,0
515,0,0,0,0,0,1,0,1
516,0,0,0,1,0,0,1,0
517,0,0,1,0,0,0,0,1
518,0,0,0,1,0,0,0,1
519,0,0,1,0,0,0,1,0
520,0,0,1,0,0,0,0,1
521,0,1,0,0,0,0,0,1
522,0,0,0,0,0,1,0,1
523,0,0,0,0,0,1,1,0
524,0,0,0,0,0,1,0,1
525,0,0,1,0,0,0,0,1
526,0,0,0,1,0,0,1,0
527,0,0,0,0,0,1,1,0
528,0,0,1,0,0,0,1,0
529,0,1,0,0,0,0,1,0
530,0,1,0,0,0,0,1,0
531,0,1,0,0,0,0,1,0
532,0,0,0,0,0,1,0,1
533,0,0,0,1,0,0,1,0
534,0,0,1,0,0,0,1,0
535,0,0,1,0,0,0,1,0
536,0,0,0,0,0,1,1,0
537,0,0,0,0,0,1,1,0
538,0,0,1,0,0,0,1,0
539,0,0,1,0,0,0,0,1
540,0,0,0,0,1,0,1,0
541,0,0,0,0,0,1,1,0
542,0,0,1,0,0,0,0,1
543,0,0,0,0,1,0,0,1
544,1,0,0,0,0,0,1,0
545,0,1,0,0,0,0,0,1
546,1,0,0,0,0,0,0,1
547,0,0,1,0,0,0,0,1
548,0,0,1,0,0,0,1,0
549,0,0,0,1,0,0,0,1
550,0,0,0,1,0,0,1,0
551,0,0,1,0,0,0,0,1
552,0,0,0,0,1,0,0,1
553,0,0,1,0,0,0,1,0
554,1,0,0,0,0,0,0,1
555,0,0,0,0,1,0,1,0
556,0,0,0,1,0,0,1,0
557,0,0,0,0,1,0,1,0
558,0,1,0,0,0,0,0,1
559,0,0,1,0,0,0,0,1
560,0,0,1,0,0,0,0,1
561,0,0,0,1,0,0,1,0
562,0,0,0,1,0,0,0,1
563,0,1,0,0,0,0,0,1
564,0,0,1,0,0,0,1,0
565,0,0,1,0,0,0,0,1
566,0,0,0,1,0,0,1,0
567,0,0,0,0,0,1,1,0
568,1,0,0,0,0,0,1,0
569,0,0,0,1,0,0,1,0
570,0,0,0,1,0,0,1,0
571,0,0,0,0,0,1,0,1
572,0,0,1,0,0,0,1,0
573,0,0,1,0,0,0,1,0
574,1,0,0,0,0,0,0,1
575,1,0,0,0,0,0,0,1
576,1,0,0,0,0,0,1,0
577,0,0,1,0,0,0,1,0
578,1,0,0,0,0,0,0,1
579,0,0,0,0,1,0,1,0
580,0,0,0,1,0,0,1,0
581,1,0,0,0,0,0,1,0
582,1,0,0,0,0,0,1,0
583,0,1,0,0,0,0,1,0
584,0,0,1,0,0,0,0,1
585,0,0,0,1,0,0,0,1
586,0,0,0,1,0,0,0,1
587,0,0,0,0,0,1,0,1
588,0,0,1,0,0,0,1,0
589,0,0,0,0,0,1,0,1
590,0,0,1,0,0,0,0,1
591,0,0,0,1,0,0,1,0
592,0,1,0,0,0,0,0,1
593,0,0,0,1,0,0,1,0
594,0,1,0,0,0,0,1,0
595,0,1,0,0,0,0,1,0
596,0,0,0,0,0,1,0,1
597,0,0,1,0,0,0,1,0
598,0,0,0,0,1,0,1,0
599,0,0,1,0,0,0,0,1
600,0,0,0,0,1,0,0,1
601,0,0,1,0,0,0,0,1
602,0,0,1,0,0,0,0,1
603,0,0,0,0,1,0,0,1
604,0,0,0,0,1,0,0,1
605,0,1,0,0,0,0,0,1
606,0,0,1,0,0,0,0,1
607,0,0,0,1,0,0,1,0
608,0,0,0,1,0,0,0,1
609,0,0,0,0,1,0,1,0
610,0,0,0,0,1,0,0,1
611,0,0,0,1,0,0,0,1
612,0,1,0,0,0,0,1,0
613,0,1,0,0,0,0,1,0
614,1,0,0,0,0,0,0,1
615,0,0,0,0,0,1,0,1
616,1,0,0,0,0,0,0,1
617,0,0,1,0,0,0,0,1
618,1,0,0,0,0,0,0,1
619,1,0,0,0,0,0,0,1
620,1,0,0,0,0,0,0,1
621,0,1,0,0,0,0,0,1
622,0,1,0,0,0,0,0,1
623,0,0,0,0,1,0,0,1
624,0,0,0,0,1,0,0,1
625,0,0,1,0,0,0,0,1
626,0,1,0,0,0,0,1,0
627,1,0,0,0,0,0,0,1
628,1,0,0,0,0,0,0,1
629,0,0,0,0,0,1,0,1
630,0,0,0,0,1,0,0,1
631,1,0,0,0,0,0,0,1
632,0,0,0,0,0,1,1,0
633,0,0,0,0,1,0,0,1
634,0,0,0,0,0,1,0,1
635,0,1,0,0,0,0,0,1
636,1,0,0,0,0,0,0,1
637,0,0,0,0,1,0,1,0
638,0,0,0,0,1,0,1,0
639,0,1,0,0,0,0,1,0
640,0,0,0,1,0,0,0,1
641,0,0,0,1,0,0,1,0
642,0,0,0,0,0,1,1,0
643,0,1,0,0,0,0,0,1
644,0,0,0,0,1,0,1,0
645,0,0,0,0,0,1,1,0
646,0,1,0,0,0,0,1,0
647,0,0,0,0,1,0,0,1
648,0,0,0,0,1,0,0,1
649,0,1,0,0,0,0,1,0
650,0,0,0,0,0,1,0,1
651,0,0,1,0,0,0,1,0
652,0,0,0,1,0,0,1,0
653,0,0,0,1,0,0,0,1
654,0,0,0,0,1,0,0,1
655,1,0,0,0,0,0,0,1
656,0,0,0,0,1,0,0,1
657,0,1,0,0,0,0,0,1
658,0,0,0,0,1,0,1,0
659,0,0,0,0,1,0,0,1
660,0,1,0,0,0,0,1,0
661,0,0,1,0,0,0,0,1
662,0,1,0,0,0,0,1,0
663,1,0,0,0,0,0,1,0
664,0,0,1,0,0,0,1,0
665,0,0,0,0,0,1,0,1
666,0,0,0,1,0,0,0,1
667,0,0,0,1,0,0,0,1
668,1,0,0,0,0,0,0,1
669,0,0,0,1,0,0,1,0
670,0,0,0,0,0,1,0,1
671,1,0,0,0,0,0,0,1
672,0,1,0,0,0,0,1,0
673,0,0,0,0,0,1,0,1
674,0,0,0,1,0,0,1,0
675,0,1,0,0,0,0,1,0
676,0,0,0,1,0,0,0,1
677,0,0,0,1,0,0,1,0
678,0,0,1,0,0,0,0,1
679,0,0,0,0,1,0,1,0
680,0,0,0,0,0,1,1,0
681,0,0,0,0,0,1,0,1
682,0,0,0,1,0,0,0,1
683,0,0,0,0,1,0,0,1
684,0,0,0,0,1,0,1,0
685,0,1,0,0,0,0,0,1
686,0,0,1,0,0,0,1,0
687,0,0,0,0,0,1,1,0
688,0,0,0,1,0,0,0,1
689,0,0,0,0,1,0,1,0
690,0,0,0,1,0,0,0,1
691,0,0,0,0,1,0,0,1
692,0,0,0,0,0,1,0,1
693,0,0,0,0,1,0,0,1
694,0,0,0,0,1,0,1,0
695,0,0,0,0,1,0,1,0
696,1,0,0,0,0,0,0,1
697,0,0,0,1,0,0,0,1
698,0,1,0,0,0,0,1,0
699,0,0,1,0,0,0,1,0
700,0,0,0,0,0,1,1,0
701,1,0,0,0,0,0,0,1
702,0,0,0,0,0,1,0,1
703,0,0,0,1,0,0,1,0
704,0,1,0,0,0,0,0,1
705,0,0,0,0,1,0,0,1
706,0,0,0,0,1,0,1,0
707,1,0,0,0,0,0,0,1
708,0,0,0,0,0,1,1,0
709,0,0,0,1,0,0,1,0
710,0,0,0,0,1,0,1,0
711,0,0,0,0,1,0,0,1
712,0,0,0,1,0,0,1,0
713,0,0,0,0,1,0,0,1
714,0,0,0,0,0,1,1,0
715,0,0,0,1,0,0,0,1
716,1,0,0,0,0,0,1,0
717,1,0,0,0,0,0,0,1
718,0,0,0,0,1,0,1,0
719,0,0,0,0,1,0,0,1
720,0,1,0,0,0,0,1,0
721,0,0,0,1,0,0,1,0
722,0,0,0,0,0,1,0,1
723,0,0,0,0,0,1,1,0
724,0,0,0,0,1,0,1,0
725,0,0,0,0,0,1,1,0
726,0,1,0,0,0,0,1,0
727,0,1,0,0,0,0,0,1
728,0,0,1,0,0,0,0,1
729,1,0,0,0,0,0,0,1
730,0,0,0,1,0,0,0,1
731,0,1,0,0,0,0,1,0
732,0,0,0,1,0,0,0,1
733,0,0,0,0,0,1,1,0
734,1,0,0,0,0,0,0,1
735,0,0,1,0,0,0,1,0
736,0,0,0,1,0,0,1,0
737,0,1,0,0,0,0,0,1
738,0,0,0,1,0,0,0,1
739,0,0,0,0,0,1,0,1
740,0,0,0,1,0,0,1,0
741,0,0,0,0,1,0,0,1
742,0,0,1,0,0,0,0,1
743,0,0,0,0,0,1,1,0
744,0,0,0,0,0,1,0,1
745,0,0,0,0,1,0,1,0
746,0,0,0,0,0,1,0,1
747,0,0,0,0,0,1,0,1
748,0,1,0,0,0,0,1,0
749,0,0,0,1,0,0,0,1
750,0,0,1,0,0,0,1,0
751,0,1,0,0,0,0,0,1
752,0,0,0,1,0,0,1,0
753,0,0,0,1,0,0,0,1
754,0,0,0,0,0,1,1,0
755,0,0,0,0,1,0,1,0
756,0,0,0,0,0,1,0,1
757,0,0,0,1,0,0,0,1
758,0,0,0,0,1,0,1,0
759,0,0,1,0,0,0,0,1
760,0,0,0,1,0,0,1,0
761,0,1,0,0,0,0,0,1
762,0,0,0,1,0,0,0,1
763,1,0,0,0,0,0,0,1
764,0,0,1,0,0,0,1,0
765,0,0,1,0,0,0,0,1
766,0,0,0,0,1,0,0,1
767,0,0,0,0,1,0,1,0
768,0,0,1,0,0,0,1,0
769,1,0,0,0,0,0,1,0
770,0,1,0,0,0,0,0,1
771,0,0,0,1,0,0,1,0
